tick,pop,avg_dist_to_food,agents_at_food
285,200,55.9,0
286,200,55.9,0
287,200,56.0,0
288,200,56.0,0
289,199,55.8,0
290,200,55.9,0
291,200,55.9,0
292,200,55.9,0
293,199,55.7,0
294,199,55.8,0
295,200,55.9,0
296,199,55.9,0
297,200,55.9,0
298,200,55.9,0
299,200,55.9,0
300,200,55.9,0
301,200,55.9,0
302,199,55.8,0
303,199,56.1,0
304,200,56.2,0
305,200,56.2,0
306,200,56.2,0
307,200,56.2,0
308,200,56.2,0
309,200,56.2,0
310,200,56.2,0
311,200,56.2,0
312,200,56.2,0
313,198,56.2,0
314,200,56.0,0
315,200,56.0,0
316,200,56.0,0
317,200,56.0,0
318,200,56.0,0
319,200,55.9,0
320,200,55.9,0
321,200,55.9,0
322,200,55.9,0
323,200,55.9,0
324,199,56.0,0
325,200,55.8,0
326,200,55.8,0
327,200,55.8,0
328,200,55.8,0
329,200,55.8,0
330,200,55.8,0
331,199,55.9,0
332,199,55.9,0
333,200,56.0,0
334,200,56.0,0
335,200,56.0,0
336,200,56.0,0
337,200,56.0,0
338,200,56.0,0
339,200,56.0,0
340,200,56.0,0
341,200,56.0,0
342,200,56.0,0
343,200,56.1,0
344,199,56.3,0
345,200,56.4,0
346,200,56.4,0
347,200,56.4,0
348,200,56.4,0
349,199,56.3,0
350,200,56.1,0
351,199,56.0,0
352,200,55.8,0
353,200,55.8,0
354,200,55.8,0
355,200,55.8,0
356,200,55.8,0
357,200,55.8,0
358,200,55.8,0
359,200,55.8,0
360,200,55.8,0
361,200,55.8,0
362,199,56.0,0
363,200,56.0,0
364,200,56.0,0
365,200,56.0,0
366,200,56.0,0
367,200,56.0,0
368,200,56.0,0
369,200,56.0,0
370,200,56.0,0
371,200,56.0,0
372,200,56.0,0
373,200,56.0,0
374,200,56.0,0
375,200,56.0,0
376,200,56.0,0
377,200,56.0,0
378,200,56.0,0
379,199,55.9,0
380,200,56.1,0
381,200,56.1,0
382,200,56.1,0
383,199,56.3,0
384,200,56.1,0
