tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
572,20,180,0,0.580,0
573,20,180,0,0.580,0
574,20,180,0,0.580,0
575,20,180,0,0.580,0
576,20,180,0,0.580,0
577,20,180,0,0.580,0
578,20,180,0,0.580,0
579,20,180,0,0.580,0
580,20,180,0,0.580,0
581,20,180,0,0.580,0
582,20,180,0,0.580,0
583,20,180,0,0.580,0
584,20,180,0,0.580,0
585,20,180,0,0.580,0
586,20,180,0,0.580,0
587,20,180,0,0.580,0
588,20,180,0,0.580,0
589,20,180,0,0.580,0
590,20,180,0,0.580,0
591,20,180,0,0.580,0
592,20,180,0,0.580,0
593,20,180,0,0.580,0
594,20,180,0,0.580,0
595,20,180,0,0.580,0
596,20,180,0,0.580,0
597,20,180,0,0.580,0
598,20,180,0,0.580,0
599,20,180,0,0.580,0
600,20,180,0,0.580,0
601,20,180,0,0.580,0
602,20,180,0,0.580,0
603,20,180,0,0.580,0
604,20,180,0,0.580,0
605,20,180,0,0.580,0
606,20,180,0,0.580,0
607,20,180,0,0.580,0
608,20,180,0,0.580,0
609,20,180,0,0.580,0
610,20,180,0,0.580,0
611,20,180,0,0.580,0
612,20,180,0,0.580,0
613,20,180,0,0.580,0
614,20,180,0,0.580,0
615,20,180,0,0.580,0
616,20,180,0,0.580,0
617,20,180,0,0.580,0
618,20,180,0,0.580,0
619,20,180,0,0.580,0
620,20,180,0,0.580,0
621,20,180,0,0.580,0
622,20,180,0,0.580,0
623,20,180,0,0.580,0
624,20,180,0,0.580,0
625,20,180,0,0.580,0
626,20,180,0,0.580,0
627,20,180,0,0.580,0
628,20,180,0,0.580,0
629,20,180,0,0.580,0
630,20,180,0,0.580,0
631,20,180,0,0.580,0
632,20,180,0,0.580,0
633,20,180,0,0.580,0
634,20,180,0,0.580,0
635,20,180,0,0.580,0
636,20,180,0,0.580,0
637,20,180,0,0.580,0
638,20,180,0,0.580,0
639,20,180,0,0.580,0
640,20,180,0,0.580,0
641,20,180,0,0.580,0
642,20,180,0,0.580,0
643,20,180,0,0.580,0
644,20,180,0,0.580,0
645,20,180,0,0.580,0
646,20,180,0,0.580,0
647,20,180,0,0.580,0
648,20,180,0,0.580,0
649,20,180,0,0.580,0
650,20,180,0,0.580,0
651,20,180,0,0.580,0
652,20,180,0,0.580,0
653,20,180,0,0.580,0
654,20,180,0,0.580,0
655,20,180,0,0.580,0
656,20,180,0,0.580,0
657,20,180,0,0.580,0
658,20,180,0,0.580,0
659,20,180,0,0.580,0
660,20,180,0,0.580,0
661,20,180,0,0.580,0
662,20,180,0,0.580,0
663,20,180,0,0.580,0
664,20,180,0,0.580,0
665,20,180,0,0.580,0
666,20,180,0,0.580,0
667,20,180,0,0.580,0
668,20,180,0,0.580,0
669,20,180,0,0.580,0
670,20,180,0,0.580,0
