tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff,avg_pred_eff
354,195,50,0.8201,0.4952,1.0893,0.4959
355,196,50,0.8164,0.4952,1.0886,0.4959
356,193,50,0.8079,0.4952,1.0900,0.4959
357,196,50,0.8079,0.4952,1.0904,0.4959
358,198,50,0.8010,0.4952,1.0857,0.4959
359,194,50,0.8061,0.4952,1.0809,0.4959
360,193,50,0.8143,0.4952,1.0870,0.4959
361,193,50,0.8134,0.4952,1.0905,0.4959
362,199,50,0.7988,0.4952,1.0858,0.4959
363,192,50,0.7939,0.4952,1.0824,0.4959
364,199,50,0.7909,0.4952,1.0812,0.4959
365,196,50,0.7968,0.4952,1.0842,0.4959
366,196,50,0.8001,0.4952,1.0833,0.4959
367,194,50,0.8119,0.4952,1.0876,0.4959
368,195,50,0.8112,0.4952,1.0868,0.4959
369,193,50,0.8033,0.4952,1.0826,0.4959
370,195,50,0.8139,0.4952,1.0893,0.4959
371,193,50,0.8187,0.4952,1.0877,0.4959
372,196,50,0.8178,0.4952,1.0837,0.4959
373,194,50,0.8229,0.4952,1.0876,0.4959
374,198,50,0.8226,0.4952,1.0892,0.4959
375,196,50,0.8224,0.4952,1.0920,0.4959
376,193,50,0.8082,0.4952,1.0928,0.4959
377,196,50,0.8095,0.4952,1.0894,0.4959
378,198,50,0.8018,0.4952,1.0869,0.4959
379,198,50,0.8068,0.4952,1.0891,0.4959
380,195,50,0.8121,0.4952,1.0889,0.4959
381,194,50,0.8131,0.4952,1.0876,0.4959
382,193,50,0.8222,0.4952,1.0932,0.4959
383,197,50,0.8108,0.4952,1.0919,0.4959
384,195,50,0.8160,0.4952,1.0986,0.4959
385,195,50,0.8155,0.4952,1.0962,0.4959
386,193,50,0.8171,0.4952,1.0937,0.4959
387,197,50,0.8177,0.4952,1.0960,0.4959
388,195,50,0.8131,0.4952,1.0920,0.4959
389,198,50,0.8164,0.4952,1.0951,0.4959
390,191,50,0.8294,0.4952,1.1006,0.4959
391,194,50,0.8355,0.4952,1.0988,0.4959
392,193,50,0.8316,0.4952,1.0993,0.4959
393,197,50,0.8360,0.4952,1.1012,0.4959
394,193,50,0.8350,0.4952,1.1055,0.4959
395,194,50,0.8320,0.4952,1.1023,0.4959
396,194,50,0.8424,0.4952,1.1074,0.4959
397,195,50,0.8469,0.4952,1.1048,0.4959
398,198,50,0.8462,0.4952,1.1018,0.4959
399,196,50,0.8544,0.4952,1.1055,0.4959
400,194,50,0.8570,0.4952,1.1088,0.4959
401,199,50,0.8541,0.4952,1.1115,0.4959
402,194,50,0.8526,0.4952,1.1159,0.4959
403,193,50,0.8494,0.4952,1.1094,0.4959
404,198,50,0.8454,0.4952,1.1122,0.4959
405,196,50,0.8487,0.4952,1.1109,0.4959
406,193,50,0.8498,0.4952,1.1105,0.4959
407,196,50,0.8518,0.4952,1.1064,0.4959
408,196,50,0.8597,0.4952,1.1087,0.4959
409,193,50,0.8551,0.4952,1.1058,0.4959
410,197,50,0.8506,0.4952,1.1088,0.4959
411,194,50,0.8536,0.4952,1.1091,0.4959
412,195,50,0.8504,0.4952,1.1124,0.4959
413,197,50,0.8569,0.4952,1.1153,0.4959
414,191,50,0.8598,0.4952,1.1089,0.4959
415,193,50,0.8822,0.4952,1.1164,0.4959
416,197,50,0.8871,0.4952,1.1167,0.4959
417,192,50,0.8945,0.4952,1.1216,0.4959
418,198,50,0.8892,0.4952,1.1215,0.4959
419,194,50,0.8970,0.4952,1.1192,0.4959
420,197,50,0.8933,0.4952,1.1207,0.4959
421,194,50,0.8964,0.4952,1.1244,0.4959
422,195,50,0.8956,0.4952,1.1294,0.4959
423,193,50,0.8934,0.4952,1.1284,0.4959
424,191,50,0.8801,0.4952,1.1249,0.4959
425,198,50,0.8889,0.4952,1.1256,0.4959
426,197,50,0.8914,0.4952,1.1263,0.4959
427,195,50,0.8981,0.4952,1.1283,0.4959
428,194,50,0.9066,0.4952,1.1312,0.4959
429,194,50,0.8999,0.4952,1.1308,0.4959
430,199,50,0.9039,0.4952,1.1338,0.4959
431,196,50,0.9052,0.4952,1.1353,0.4959
432,198,50,0.8997,0.4952,1.1342,0.4959
433,195,50,0.8957,0.4952,1.1306,0.4959
434,197,50,0.8912,0.4952,1.1299,0.4959
435,197,50,0.8939,0.4952,1.1314,0.4959
436,195,50,0.8812,0.4952,1.1254,0.4959
437,195,50,0.8928,0.4952,1.1319,0.4959
438,197,50,0.8977,0.4952,1.1327,0.4959
439,194,50,0.9046,0.4952,1.1380,0.4959
440,196,50,0.9096,0.4952,1.1414,0.4959
441,195,50,0.9055,0.4952,1.1417,0.4959
442,197,50,0.9055,0.4952,1.1401,0.4959
443,194,50,0.9017,0.4952,1.1433,0.4959
444,194,50,0.9040,0.4952,1.1471,0.4959
445,191,50,0.9173,0.4952,1.1532,0.4959
446,199,50,0.9135,0.4952,1.1557,0.4959
447,193,50,0.9075,0.4952,1.1547,0.4959
448,193,50,0.9099,0.4952,1.1546,0.4959
449,196,50,0.9223,0.4952,1.1576,0.4959
450,193,50,0.9290,0.4952,1.1669,0.4959
451,198,50,0.9258,0.4952,1.1644,0.4959
452,196,50,0.9230,0.4952,1.1642,0.4959
453,197,50,0.9256,0.4952,1.1678,0.4959
454,195,50,0.9270,0.4952,1.1695,0.4959
455,197,50,0.9286,0.4952,1.1713,0.4959
456,194,50,0.9389,0.4952,1.1739,0.4959
457,195,50,0.9424,0.4952,1.1789,0.4959
458,193,50,0.9348,0.4952,1.1756,0.4959
459,194,50,0.9403,0.4952,1.1783,0.4959
460,194,50,0.9316,0.4952,1.1761,0.4959
461,196,50,0.9348,0.4952,1.1813,0.4959
462,195,50,0.9428,0.4952,1.1863,0.4959
463,192,50,0.9527,0.4952,1.1914,0.4959
464,197,50,0.9575,0.4952,1.1947,0.4959
465,196,50,0.9588,0.4952,1.1997,0.4959
466,195,50,0.9604,0.4952,1.2013,0.4959
467,198,50,0.9613,0.4952,1.2000,0.4959
468,196,50,0.9621,0.4952,1.1982,0.4959
469,194,50,0.9564,0.4952,1.1927,0.4959
470,197,50,0.9635,0.4952,1.1991,0.4959
471,194,50,0.9702,0.4952,1.2057,0.4959
472,196,50,0.9787,0.4952,1.2122,0.4959
473,198,50,0.9802,0.4952,1.2114,0.4959
474,199,50,0.9789,0.4952,1.2115,0.4959
475,195,50,0.9770,0.4952,1.2097,0.4959
476,196,50,0.9688,0.4952,1.2103,0.4959
477,197,50,0.9674,0.4952,1.2091,0.4959
478,197,50,0.9700,0.4952,1.2119,0.4959
479,194,50,0.9822,0.4952,1.2139,0.4959
480,193,50,0.9872,0.4952,1.2202,0.4959
481,195,50,0.9945,0.4952,1.2255,0.4959
482,194,50,0.9894,0.4952,1.2242,0.4959
483,197,50,0.9903,0.4952,1.2247,0.4959
484,193,50,0.9908,0.4952,1.2303,0.4959
485,197,50,0.9810,0.4952,1.2267,0.4959
486,195,50,0.9839,0.4952,1.2273,0.4959
487,194,50,0.9907,0.4952,1.2281,0.4959
488,197,50,0.9902,0.4952,1.2248,0.4959
489,194,50,1.0051,0.4952,1.2296,0.4959
490,198,50,1.0045,0.4952,1.2346,0.4959
491,198,50,1.0041,0.4952,1.2345,0.4959
492,197,50,1.0037,0.4952,1.2366,0.4959
493,192,50,1.0048,0.4952,1.2390,0.4959
494,196,50,1.0110,0.4952,1.2376,0.4959
495,200,50,1.0049,0.4952,1.2361,0.4959
496,196,50,1.0032,0.4952,1.2365,0.4959
497,197,50,1.0042,0.4952,1.2341,0.4959
498,191,50,1.0060,0.4952,1.2335,0.4959
499,194,50,1.0060,0.4952,1.2293,0.4959
500,193,50,1.0136,0.4952,1.2297,0.4959
501,196,50,1.0234,0.4952,1.2255,0.4959
502,197,50,1.0297,0.4952,1.2253,0.4959
503,196,50,1.0339,0.4952,1.2257,0.4959
504,193,50,1.0439,0.4952,1.2263,0.4959
505,195,50,1.0480,0.4952,1.2207,0.4959
506,194,50,1.0654,0.4952,1.2276,0.4959
507,196,50,1.0647,0.4952,1.2319,0.4959
508,198,50,1.0710,0.4952,1.2339,0.4959
509,196,50,1.0665,0.4952,1.2330,0.4959
510,192,50,1.0690,0.4952,1.2351,0.4959
511,195,50,1.0735,0.4952,1.2325,0.4959
512,190,50,1.0826,0.4952,1.2299,0.4959
513,197,50,1.0853,0.4952,1.2278,0.4959
514,193,50,1.0915,0.4952,1.2332,0.4959
515,197,50,1.0965,0.4952,1.2283,0.4959
516,200,50,1.0951,0.4952,1.2272,0.4959
517,193,50,1.0967,0.4952,1.2256,0.4959
518,195,50,1.1069,0.4952,1.2305,0.4959
519,198,50,1.1068,0.4952,1.2364,0.4959
520,193,50,1.1069,0.4952,1.2368,0.4959
521,194,50,1.1067,0.4952,1.2337,0.4959
522,198,50,1.1083,0.4952,1.2320,0.4959
523,197,50,1.1091,0.4952,1.2277,0.4959
524,196,50,1.1095,0.4952,1.2279,0.4959
525,197,50,1.1090,0.4952,1.2293,0.4959
526,196,50,1.1089,0.4952,1.2256,0.4959
527,196,50,1.1107,0.4952,1.2292,0.4959
528,196,50,1.1118,0.4952,1.2306,0.4959
529,199,50,1.1104,0.4952,1.2286,0.4959
530,197,50,1.1131,0.4952,1.2287,0.4959
