tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
352,198,20,0.9416,0.4278,0.8672,0.5181
353,195,20,0.9427,0.4270,0.8672,0.5181
354,196,20,0.9425,0.4245,0.8672,0.5181
355,196,20,0.9431,0.4243,0.8672,0.5181
356,198,20,0.9413,0.4222,0.8672,0.5181
357,194,20,0.9429,0.4195,0.8672,0.5181
358,193,20,0.9407,0.4192,0.8672,0.5181
359,199,20,0.9467,0.4242,0.8672,0.5181
360,196,20,0.9509,0.4218,0.8672,0.5181
361,196,20,0.9496,0.4255,0.8672,0.5181
362,196,20,0.9521,0.4256,0.8672,0.5181
363,197,20,0.9491,0.4258,0.8672,0.5181
364,197,20,0.9532,0.4250,0.8672,0.5181
365,196,20,0.9509,0.4249,0.8672,0.5181
366,196,20,0.9490,0.4252,0.8672,0.5181
367,197,20,0.9501,0.4256,0.8672,0.5181
368,196,20,0.9491,0.4217,0.8672,0.5181
369,194,20,0.9535,0.4266,0.8672,0.5181
370,194,20,0.9563,0.4285,0.8672,0.5181
371,199,20,0.9582,0.4302,0.8672,0.5181
372,196,20,0.9589,0.4288,0.8672,0.5181
373,194,20,0.9640,0.4308,0.8672,0.5181
374,198,20,0.9635,0.4343,0.8672,0.5181
375,192,20,0.9677,0.4311,0.8672,0.5181
376,195,20,0.9688,0.4369,0.8672,0.5181
377,195,20,0.9701,0.4352,0.8672,0.5181
378,197,20,0.9716,0.4325,0.8672,0.5181
379,196,20,0.9716,0.4329,0.8672,0.5181
380,197,20,0.9784,0.4325,0.8672,0.5181
381,197,20,0.9800,0.4317,0.8672,0.5181
382,193,20,0.9842,0.4319,0.8672,0.5181
383,191,20,0.9862,0.4305,0.8672,0.5181
384,196,20,0.9887,0.4341,0.8672,0.5181
385,195,20,0.9927,0.4373,0.8672,0.5181
386,196,20,0.9925,0.4281,0.8672,0.5181
387,194,20,0.9912,0.4292,0.8672,0.5181
388,198,20,0.9915,0.4262,0.8672,0.5181
389,194,20,0.9904,0.4258,0.8672,0.5181
390,197,20,0.9883,0.4210,0.8672,0.5181
391,199,20,0.9905,0.4198,0.8672,0.5181
392,191,20,0.9863,0.4131,0.8672,0.5181
393,198,20,0.9894,0.4150,0.8672,0.5181
394,197,20,0.9854,0.4153,0.8672,0.5181
395,197,20,0.9851,0.4149,0.8672,0.5181
396,197,20,0.9854,0.4146,0.8672,0.5181
397,200,20,0.9837,0.4140,0.8672,0.5181
398,196,20,0.9830,0.4087,0.8672,0.5181
399,199,20,0.9828,0.4080,0.8672,0.5181
400,195,20,0.9806,0.4072,0.8672,0.5181
401,195,20,0.9799,0.4085,0.8672,0.5181
