tick,pop,avg_energy,avg_cannibalism,cannibal_acts
1842,198,175.8,0.0662,0
1843,199,176.7,0.0670,0
1844,200,175.3,0.0672,0
1845,198,174.1,0.0674,0
1846,200,174.2,0.0672,0
1847,198,173.0,0.0669,0
1848,198,174.9,0.0677,0
1849,198,176.7,0.0674,0
1850,200,176.7,0.0670,0
1851,198,175.5,0.0673,0
1852,199,176.4,0.0676,0
1853,198,176.8,0.0672,0
1854,199,177.6,0.0675,0
1855,200,176.2,0.0673,0
1856,198,175.0,0.0670,0
1857,199,175.9,0.0672,0
1858,200,174.4,0.0672,0
1859,200,171.5,0.0672,0
1860,199,169.5,0.0674,0
1861,198,169.8,0.0680,0
1862,198,171.7,0.0676,0
1863,199,172.6,0.0686,0
1864,199,172.1,0.0689,0
1865,200,170.7,0.0686,0
1866,200,167.8,0.0686,0
1867,200,165.0,0.0686,0
1868,200,162.2,0.0686,0
1869,199,160.2,0.0688,0
1870,200,158.9,0.0690,0
1871,200,156.2,0.0690,0
1872,200,153.5,0.0690,0
1873,200,150.8,0.0690,0
1874,198,149.6,0.0696,0
1875,200,150.2,0.0698,0
1876,200,147.5,0.0698,0
1877,197,147.1,0.0702,0
1878,198,150.8,0.0707,0
1879,196,154.5,0.0704,0
1880,200,158.1,0.0704,0
1881,200,155.4,0.0704,0
1882,200,152.7,0.0704,0
1883,198,151.6,0.0700,0
1884,200,152.1,0.0700,0
1885,197,151.7,0.0700,0
1886,199,154.6,0.0696,0
1887,197,155.9,0.0694,0
1888,195,162.0,0.0705,0
1889,198,168.7,0.0708,0
1890,198,170.7,0.0704,0
1891,199,171.7,0.0705,0
1892,199,171.3,0.0707,0
1893,197,172.6,0.0718,0
1894,196,177.8,0.0709,0
1895,197,183.5,0.0720,0
1896,197,187.7,0.0719,0
1897,199,190.0,0.0723,0
1898,200,188.3,0.0728,0
1899,200,185.3,0.0728,0
1900,199,183.3,0.0727,0
1901,199,182.7,0.0736,0
1902,197,183.9,0.0735,0
1903,199,186.2,0.0741,0
1904,200,184.7,0.0741,0
1905,199,182.6,0.0740,0
1906,200,181.2,0.0738,0
1907,199,179.1,0.0732,0
1908,198,179.5,0.0736,0
1909,196,183.2,0.0730,0
1910,199,186.9,0.0735,0
1911,200,185.4,0.0739,0
1912,198,184.3,0.0735,0
1913,199,185.2,0.0742,0
1914,199,184.6,0.0745,0
1915,198,185.0,0.0746,0
1916,200,184.9,0.0752,0
1917,200,182.0,0.0752,0
1918,198,180.9,0.0759,0
