tick,pop_capital,pop_labor,nouveaux_riches,avg_innovation,contracts
487,20,180,0,0.573,0
488,20,180,0,0.573,0
489,20,180,0,0.573,0
490,20,180,0,0.573,0
491,20,180,0,0.573,0
492,20,180,0,0.573,0
493,20,180,0,0.573,0
494,20,180,0,0.573,0
495,20,180,0,0.573,0
496,20,180,0,0.573,0
497,20,180,0,0.573,0
498,20,180,0,0.573,0
499,20,180,0,0.573,0
500,20,180,0,0.573,0
501,20,180,0,0.573,0
502,20,180,0,0.573,0
503,20,180,0,0.573,0
504,20,180,0,0.573,0
505,20,180,0,0.573,0
506,20,180,0,0.573,0
507,20,180,0,0.573,0
508,20,180,0,0.573,0
509,20,180,0,0.573,0
510,20,180,0,0.573,0
511,20,180,0,0.573,0
512,20,180,0,0.573,0
513,20,180,0,0.573,0
514,20,180,0,0.573,0
515,20,180,0,0.573,0
516,20,180,0,0.573,0
517,20,180,0,0.573,0
518,20,180,0,0.573,0
519,20,180,0,0.573,0
520,20,180,0,0.573,0
521,20,180,0,0.573,0
522,20,180,0,0.573,0
523,20,180,0,0.573,0
524,20,180,0,0.573,0
525,20,180,0,0.573,0
526,20,180,0,0.573,0
527,20,180,0,0.573,0
528,20,180,0,0.573,0
529,20,180,0,0.573,0
530,20,180,0,0.573,0
531,20,180,0,0.573,0
532,20,180,0,0.573,0
533,20,180,0,0.573,0
534,20,180,0,0.573,0
535,20,180,0,0.573,0
536,20,180,0,0.573,0
537,20,180,0,0.573,0
538,20,180,0,0.573,0
539,20,180,0,0.573,0
540,20,180,0,0.573,0
541,20,180,0,0.573,0
542,20,180,0,0.573,0
543,20,180,0,0.573,0
544,20,180,0,0.573,0
545,20,180,0,0.573,0
546,20,180,0,0.573,0
547,20,180,0,0.573,0
548,20,180,0,0.573,0
549,20,180,0,0.573,0
550,20,180,0,0.573,0
551,20,180,0,0.573,0
552,20,180,0,0.573,0
553,20,180,0,0.573,0
554,20,180,0,0.573,0
555,20,180,0,0.573,0
556,20,180,0,0.573,0
557,20,180,0,0.573,0
558,20,180,0,0.573,0
559,20,180,0,0.573,0
560,20,180,0,0.573,0
561,20,180,0,0.573,0
562,20,180,0,0.573,0
563,20,180,0,0.573,0
564,20,180,0,0.573,0
565,20,180,0,0.573,0
566,20,180,0,0.573,0
567,20,180,0,0.573,0
568,20,180,0,0.573,0
569,20,180,0,0.573,0
570,20,180,0,0.573,0
571,20,180,0,0.573,0
572,20,180,0,0.573,0
573,20,180,0,0.573,0
574,20,180,0,0.573,0
575,20,180,0,0.573,0
576,20,180,0,0.573,0
577,20,180,0,0.573,0
578,20,180,0,0.573,0
579,20,180,0,0.573,0
580,20,180,0,0.573,0
581,20,180,0,0.573,0
582,20,180,0,0.573,0
583,20,180,0,0.573,0
584,20,180,0,0.573,0
585,20,180,0,0.573,0
586,20,180,0,0.573,0
587,20,180,0,0.573,0
588,20,180,0,0.573,0
