tick,tax_rate,subsidy,treasury,pop_rich,pop_poor,avg_nrg_poor
923,0.046,18.3,-0.0,0,147,48.4
924,0.046,18.3,-0.0,0,147,47.9
925,0.046,18.3,-0.0,0,147,47.6
926,0.046,18.3,0.0,0,147,48.5
927,0.046,18.3,-0.0,0,147,47.9
928,0.046,18.3,0.0,0,147,48.3
929,0.046,18.3,-0.0,0,147,47.9
930,0.046,18.3,0.0,0,147,48.4
931,0.046,18.3,0.0,0,147,48.3
932,0.046,18.3,0.0,0,147,48.5
933,0.046,18.3,-0.0,0,147,48.6
934,0.046,18.3,-0.0,0,147,48.6
935,0.046,18.3,0.0,0,147,48.0
936,0.046,18.3,0.0,0,147,48.6
937,0.046,18.3,-0.0,0,147,48.2
938,0.046,18.3,0.0,0,147,48.0
939,0.046,18.3,-0.0,0,147,47.6
940,0.046,18.3,0.0,0,147,47.8
941,0.046,18.3,0.0,0,147,47.7
942,0.046,18.3,0.0,0,147,47.6
943,0.046,18.3,0.0,0,147,47.6
944,0.046,18.3,0.0,0,147,47.5
945,0.046,18.3,-0.0,0,147,47.0
946,0.046,18.3,-0.0,0,147,47.2
947,0.046,18.3,-0.0,0,147,47.5
948,0.046,18.3,0.0,0,147,47.0
949,0.046,18.3,-0.0,0,147,46.5
950,0.046,18.3,0.0,0,147,46.3
951,0.046,18.3,0.0,0,147,46.4
952,0.046,18.3,-0.0,0,147,45.7
953,0.046,18.3,0.0,0,147,45.9
954,0.046,18.3,-0.0,0,147,46.4
955,0.046,18.3,0.0,0,147,45.9
956,0.046,18.3,0.0,0,147,46.4
957,0.046,18.3,-0.0,0,147,46.1
958,0.046,18.3,0.0,0,147,46.0
959,0.046,18.3,0.0,0,147,45.7
960,0.046,18.3,-0.0,0,147,45.4
961,0.046,18.3,-0.0,0,147,45.2
962,0.046,18.3,0.0,0,147,45.2
963,0.046,18.3,-0.0,0,147,44.9
964,0.046,18.3,0.0,0,147,45.3
965,0.046,18.3,0.0,0,147,45.1
966,0.046,18.3,-0.0,0,147,45.8
967,0.046,18.3,0.0,0,147,45.6
968,0.046,18.3,0.0,0,147,45.4
969,0.046,18.3,-0.0,0,147,46.0
970,0.046,18.3,0.0,0,147,45.3
971,0.046,18.3,0.0,0,147,45.3
972,0.046,18.3,-0.0,0,147,45.2
973,0.046,18.3,-0.0,0,147,44.9
974,0.046,18.3,-0.0,0,147,44.9
975,0.046,18.3,0.0,0,147,45.5
976,0.046,18.3,-0.0,0,147,45.2
977,0.046,18.3,0.0,0,147,44.6
978,0.046,18.3,-0.0,0,147,45.3
979,0.046,18.3,-0.0,0,147,44.5
980,0.046,18.3,-0.0,0,147,44.1
981,0.046,18.3,-0.0,0,147,44.3
982,0.046,18.3,0.0,0,147,44.1
983,0.046,18.3,0.0,0,147,44.8
984,0.046,18.3,0.0,0,147,43.8
985,0.046,18.3,0.0,0,147,44.2
986,0.046,18.3,0.0,0,147,44.3
987,0.046,18.3,0.0,0,147,44.3
988,0.046,18.3,-0.0,0,147,44.4
989,0.046,18.3,-0.0,0,147,43.9
990,0.046,18.3,0.0,0,147,44.2
991,0.046,18.3,0.0,0,147,44.2
992,0.046,18.3,0.0,0,147,44.3
993,0.046,18.3,0.0,0,147,44.4
994,0.046,18.3,-0.0,0,147,44.1
995,0.046,18.3,0.0,0,147,44.4
996,0.046,18.3,-0.0,0,147,44.2
997,0.046,18.3,0.0,0,147,43.9
998,0.046,18.3,0.0,0,147,44.1
999,0.046,18.3,0.0,0,147,44.1
1000,0.046,18.3,-0.0,0,147,43.9
1001,0.046,18.3,-0.0,0,147,43.3
1002,0.046,18.3,-0.0,0,147,43.1
1003,0.046,18.3,0.0,0,147,43.7
1004,0.046,18.3,-0.0,0,147,43.7
1005,0.046,18.3,0.0,0,147,43.2
1006,0.046,18.3,-0.0,0,147,43.6
1007,0.046,18.3,0.0,0,147,43.0
1008,0.046,18.3,0.0,0,147,42.8
1009,0.046,18.3,0.0,0,147,43.5
1010,0.046,18.3,0.0,0,147,43.1
1011,0.046,18.3,0.0,0,147,43.5
1012,0.046,18.3,-0.0,0,147,42.9
1013,0.046,18.3,0.0,0,147,42.6
1014,0.046,18.3,0.0,0,147,43.0
1015,0.046,18.3,-0.0,0,147,42.0
1016,0.046,18.3,0.0,0,147,42.6
1017,0.046,18.3,-0.0,0,147,42.1
1018,0.046,18.3,0.0,0,147,42.8
1019,0.046,18.3,-0.0,0,147,42.0
1020,0.046,18.3,-0.0,0,147,42.6
1021,0.046,18.3,0.0,0,147,42.1
1022,0.046,18.3,-0.0,0,147,42.5
1023,0.046,18.3,-0.0,0,147,42.1
1024,0.046,18.3,-0.0,0,147,42.2
1025,0.046,18.3,0.0,0,147,42.9
1026,0.046,18.3,0.0,0,147,42.3
1027,0.046,18.3,-0.0,0,147,41.9
1028,0.046,18.3,0.0,0,147,42.3
1029,0.046,18.3,-0.0,0,147,41.9
1030,0.046,18.3,0.0,0,147,41.5
1031,0.046,18.3,0.0,0,147,42.2
1032,0.046,18.3,-0.0,0,147,41.7
1033,0.046,18.3,0.0,0,147,40.4
1034,0.046,18.3,-0.0,0,147,39.1
1035,0.046,18.3,-0.0,0,147,38.1
1036,0.046,18.3,-0.0,0,147,37.8
1037,0.046,18.3,-0.0,0,147,37.5
1038,0.046,18.3,-0.0,0,147,38.1
1039,0.046,18.3,-0.0,0,147,38.8
1040,0.046,18.3,0.0,0,147,39.2
1041,0.046,18.3,-0.0,0,147,40.1
1042,0.046,18.3,-0.0,0,147,40.6
1043,0.046,18.3,-0.0,0,147,40.9
1044,0.046,18.3,-0.0,0,147,41.2
1045,0.046,18.3,0.0,0,147,40.7
1046,0.046,18.3,-0.0,0,147,40.4
1047,0.046,18.3,-0.0,0,147,40.6
1048,0.046,18.3,0.0,0,147,41.4
1049,0.046,18.3,-0.0,0,147,41.0
1050,0.046,18.3,0.0,0,147,40.9
1051,0.046,18.3,-0.0,0,147,40.8
1052,0.046,18.3,-0.0,0,147,41.6
1053,0.046,18.3,0.0,0,147,41.1
1054,0.046,18.3,-0.0,0,147,41.0
1055,0.046,18.3,-0.0,0,147,41.3
1056,0.046,18.3,-0.0,0,147,40.4
1057,0.046,18.3,-0.0,0,147,40.3
1058,0.046,18.3,-0.0,0,147,40.3
1059,0.046,18.3,0.0,0,147,40.9
1060,0.046,18.3,0.0,0,147,40.7
1061,0.046,18.3,-0.0,0,147,40.7
1062,0.046,18.3,-0.0,0,147,40.7
1063,0.046,18.3,0.0,0,147,40.9
1064,0.046,18.3,-0.0,0,147,41.1
1065,0.046,18.3,-0.0,0,147,40.9
1066,0.046,18.3,0.0,0,147,41.9
1067,0.046,18.3,0.0,0,147,41.3
1068,0.046,18.3,0.0,0,147,40.7
1069,0.046,18.3,0.0,0,147,40.8
1070,0.046,18.3,0.0,0,147,40.4
1071,0.046,18.3,-0.0,0,147,40.5
1072,0.046,18.3,0.0,0,147,40.4
1073,0.046,18.3,-0.0,0,147,39.5
1074,0.046,18.3,0.0,0,147,40.6
1075,0.046,18.3,-0.0,0,147,40.2
1076,0.046,18.3,-0.0,0,147,40.4
1077,0.046,18.3,-0.0,0,147,40.2
1078,0.046,18.3,0.0,0,147,40.0
1079,0.046,18.3,0.0,0,147,40.2
1080,0.046,18.3,0.0,0,147,40.2
1081,0.046,18.3,-0.0,0,147,40.5
1082,0.046,18.3,0.0,0,147,40.5
1083,0.046,18.3,-0.0,0,147,41.0
1084,0.046,18.3,-0.0,0,147,40.6
1085,0.046,18.3,0.0,0,147,41.1
1086,0.046,18.3,0.0,0,147,40.5
1087,0.046,18.3,-0.0,0,147,40.4
1088,0.046,18.3,-0.0,0,147,40.5
1089,0.046,18.3,0.0,0,147,40.2
1090,0.046,18.3,-0.0,0,147,39.9
1091,0.046,18.3,0.0,0,147,40.2
1092,0.046,18.3,0.0,0,147,39.8
1093,0.046,18.3,-0.0,0,147,40.3
1094,0.046,18.3,-0.0,0,147,39.5
1095,0.046,18.3,-0.0,0,147,39.2
1096,0.046,18.3,-0.0,0,147,39.4
1097,0.046,18.3,-0.0,0,147,39.0
1098,0.046,18.3,-0.0,0,147,38.6
1099,0.046,18.3,0.0,0,147,38.7
1100,0.046,18.3,-0.0,0,147,38.3
1101,0.046,18.3,-0.0,0,147,38.4
1102,0.046,18.3,0.0,0,147,38.4
1103,0.046,18.3,0.0,0,147,38.9
1104,0.046,18.3,-0.0,0,147,39.0
1105,0.046,18.3,0.0,0,147,39.0
1106,0.046,18.3,-0.0,0,147,39.6
1107,0.046,18.3,-0.0,0,147,39.1
1108,0.046,18.3,0.0,0,147,39.5
1109,0.046,18.3,-0.0,0,147,39.2
