tick,pop,avg_dist,at_food,intent_move_to_food,knowledge_spread
916,49,84.9,0,0,0
917,49,84.9,0,0,0
918,49,84.9,0,0,0
919,49,84.9,0,0,0
920,49,84.9,0,0,0
921,49,84.9,0,0,0
922,49,84.9,0,0,0
923,49,84.9,0,0,0
924,49,84.9,0,0,0
925,49,84.9,0,0,0
926,49,84.9,0,0,0
927,49,84.9,0,0,0
928,49,84.9,0,0,0
929,49,84.9,0,0,0
930,49,84.9,0,0,0
931,49,84.9,0,0,0
932,49,84.9,0,0,0
933,49,84.9,0,0,0
934,49,84.9,0,0,0
935,49,84.9,0,0,0
936,49,84.9,0,0,0
937,49,84.9,0,0,0
938,49,84.9,0,0,0
939,49,84.9,0,0,0
940,49,84.9,0,0,0
941,49,84.9,0,0,0
942,49,84.9,0,0,0
943,49,84.9,0,0,0
944,49,84.9,0,0,0
945,49,84.9,0,0,0
946,49,84.9,0,0,0
947,49,84.9,0,0,0
948,49,84.9,0,0,0
949,49,84.9,0,0,0
950,49,84.9,0,0,0
951,49,84.9,0,0,0
952,49,84.9,0,0,0
953,49,84.9,0,0,0
954,49,84.9,0,0,0
955,49,84.9,0,0,0
956,49,84.9,0,0,0
957,49,84.9,0,0,0
958,49,84.9,0,0,0
959,49,84.9,0,0,0
960,49,84.9,0,0,0
961,49,84.9,0,0,0
962,49,84.9,0,0,0
963,49,84.9,0,0,0
964,49,84.9,0,0,0
965,49,84.9,0,0,0
966,49,84.9,0,0,0
967,49,84.9,0,0,0
968,49,84.9,0,0,0
969,49,84.9,0,0,0
970,49,84.9,0,0,0
971,49,84.9,0,0,0
972,49,84.9,0,0,0
973,49,84.9,0,0,0
974,49,84.9,0,0,0
975,49,84.9,0,0,0
976,49,84.9,0,0,0
977,49,84.9,0,0,0
978,49,84.9,0,0,0
979,49,84.9,0,0,0
980,49,84.9,0,0,0
981,49,84.9,0,0,0
982,49,84.9,0,0,0
983,49,84.9,0,0,0
984,49,84.9,0,0,0
985,49,84.9,0,0,0
986,49,84.9,0,0,0
987,49,84.9,0,0,0
988,49,84.9,0,0,0
989,49,84.9,0,0,0
990,49,84.9,0,0,0
991,49,84.9,0,0,0
992,49,84.9,0,0,0
