tick,pop_rich,pop_poor,avg_nrg_rich,avg_nrg_poor,trades
550,200,0,195.8,0.0,48
551,200,0,195.3,0.0,41
552,200,0,194.8,0.0,52
553,200,0,194.4,0.0,45
554,200,0,193.9,0.0,49
555,200,0,193.4,0.0,56
556,200,0,193.0,0.0,49
557,200,0,192.5,0.0,46
558,200,0,192.0,0.0,53
559,200,0,191.6,0.0,42
560,200,0,191.1,0.0,47
561,200,0,190.7,0.0,45
562,200,0,190.2,0.0,42
563,200,0,189.7,0.0,42
564,200,0,189.3,0.0,49
565,200,0,188.8,0.0,40
566,200,0,188.4,0.0,39
567,200,0,188.0,0.0,45
568,200,0,187.5,0.0,24
569,200,0,187.1,0.0,34
570,200,0,186.6,0.0,44
571,200,0,186.2,0.0,33
572,200,0,185.8,0.0,35
573,200,0,185.3,0.0,43
574,200,0,184.9,0.0,28
575,200,0,184.5,0.0,42
576,200,0,184.1,0.0,41
577,200,0,183.6,0.0,35
578,200,0,183.2,0.0,44
579,200,0,182.8,0.0,39
580,200,0,182.4,0.0,37
581,200,0,182.0,0.0,54
582,200,0,181.6,0.0,47
583,200,0,181.2,0.0,44
584,200,0,180.8,0.0,52
585,200,0,180.4,0.0,51
586,200,0,180.0,0.0,44
587,200,0,179.6,0.0,52
588,200,0,179.2,0.0,44
589,200,0,178.8,0.0,41
590,200,0,178.4,0.0,61
591,200,0,178.0,0.0,42
592,200,0,177.6,0.0,41
593,200,0,177.2,0.0,58
594,200,0,176.8,0.0,43
595,200,0,176.5,0.0,51
596,200,0,176.1,0.0,55
597,200,0,175.7,0.0,48
598,200,0,175.3,0.0,54
599,200,0,174.9,0.0,48
600,200,0,174.6,0.0,49
601,200,0,174.2,0.0,54
602,200,0,173.8,0.0,53
603,200,0,173.4,0.0,56
604,200,0,173.1,0.0,53
605,200,0,172.7,0.0,59
606,200,0,172.4,0.0,56
607,200,0,172.0,0.0,54
608,200,0,171.6,0.0,58
609,200,0,171.3,0.0,59
610,200,0,170.9,0.0,48
611,200,0,170.6,0.0,55
612,200,0,170.2,0.0,53
613,200,0,169.8,0.0,50
614,200,0,169.5,0.0,50
615,200,0,169.1,0.0,54
616,200,0,168.8,0.0,47
617,200,0,168.4,0.0,54
618,200,0,168.1,0.0,58
619,200,0,167.7,0.0,61
620,200,0,167.4,0.0,60
621,200,0,167.0,0.0,58
622,200,0,166.7,0.0,59
623,200,0,166.3,0.0,59
624,200,0,166.0,0.0,65
625,200,0,165.6,0.0,68
626,200,0,165.3,0.0,59
627,200,0,164.9,0.0,63
628,200,0,164.6,0.0,70
629,200,0,164.3,0.0,63
630,200,0,163.9,0.0,59
631,200,0,163.6,0.0,64
632,200,0,163.2,0.0,60
633,200,0,162.9,0.0,56
634,200,0,162.6,0.0,60
635,200,0,162.2,0.0,61
636,200,0,161.9,0.0,62
637,200,0,161.6,0.0,64
638,200,0,161.3,0.0,64
639,200,0,160.9,0.0,61
640,200,0,160.6,0.0,71
641,200,0,160.3,0.0,71
642,200,0,160.0,0.0,63
643,200,0,159.6,0.0,74
644,200,0,159.3,0.0,72
645,200,0,159.0,0.0,70
646,200,0,158.7,0.0,77
647,200,0,158.4,0.0,73
648,200,0,158.0,0.0,62
649,200,0,157.7,0.0,70
650,200,0,157.4,0.0,77
651,200,0,157.1,0.0,63
652,200,0,156.8,0.0,71
653,200,0,156.5,0.0,77
654,200,0,156.2,0.0,65
655,200,0,155.9,0.0,65
656,200,0,155.6,0.0,69
657,200,0,155.3,0.0,62
658,200,0,155.0,0.0,67
659,200,0,154.7,0.0,65
660,200,0,154.4,0.0,55
661,200,0,154.1,0.0,71
662,200,0,153.8,0.0,74
663,200,0,153.5,0.0,62
664,200,0,153.2,0.0,65
665,200,0,152.9,0.0,69
666,200,0,152.6,0.0,56
667,200,0,152.3,0.0,71
668,200,0,152.0,0.0,63
669,200,0,151.7,0.0,66
670,200,0,151.4,0.0,64
671,200,0,151.1,0.0,67
672,200,0,150.8,0.0,57
673,200,0,150.5,0.0,64
674,200,0,150.3,0.0,72
675,200,0,150.0,0.0,69
676,200,0,149.7,0.0,75
677,200,0,149.4,0.0,67
678,200,0,149.1,0.0,75
679,200,0,148.8,0.0,81
680,200,0,148.6,0.0,83
681,200,0,148.3,0.0,86
682,200,0,148.0,0.0,76
683,200,0,147.7,0.0,82
684,200,0,147.5,0.0,82
685,200,0,147.2,0.0,76
686,200,0,146.9,0.0,78
687,200,0,146.6,0.0,85
688,200,0,146.4,0.0,80
689,200,0,146.1,0.0,83
690,200,0,145.8,0.0,79
691,200,0,145.6,0.0,83
692,200,0,145.3,0.0,85
693,200,0,145.0,0.0,86
694,200,0,144.8,0.0,83
695,200,0,144.5,0.0,86
696,200,0,144.2,0.0,87
697,200,0,144.0,0.0,88
698,200,0,143.7,0.0,86
699,200,0,143.5,0.0,88
700,200,0,143.2,0.0,92
701,200,0,142.9,0.0,88
702,200,0,142.7,0.0,92
703,200,0,142.4,0.0,82
704,200,0,142.2,0.0,85
705,200,0,141.9,0.0,80
706,200,0,141.7,0.0,89
707,200,0,141.4,0.0,90
708,200,0,141.2,0.0,89
709,200,0,140.9,0.0,95
710,200,0,140.7,0.0,92
711,200,0,140.4,0.0,92
712,200,0,140.2,0.0,86
713,200,0,140.0,0.0,88
714,200,0,139.7,0.0,90
715,200,0,139.5,0.0,98
716,200,0,139.2,0.0,92
717,200,0,139.0,0.0,95
718,200,0,138.8,0.0,104
719,200,0,138.5,0.0,91
720,200,0,138.3,0.0,97
