tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_age
398,197,50,0.5249,0.6504,392.5
399,200,50,0.5239,0.6504,393.5
400,199,50,0.5245,0.6504,394.5
401,199,50,0.5238,0.6504,395.5
402,199,50,0.5223,0.6504,396.5
403,199,50,0.5227,0.6504,397.5
404,197,50,0.5216,0.6504,398.5
405,197,50,0.5218,0.6504,399.5
406,195,50,0.5239,0.6504,400.5
407,200,50,0.5237,0.6504,401.5
408,197,50,0.5239,0.6504,402.5
409,196,50,0.5237,0.6504,403.5
410,197,50,0.5252,0.6504,404.5
411,198,50,0.5257,0.6504,405.5
412,198,50,0.5268,0.6504,406.5
413,198,50,0.5265,0.6504,407.5
414,198,50,0.5263,0.6504,408.5
415,199,50,0.5250,0.6504,409.5
416,198,50,0.5252,0.6504,410.5
417,196,50,0.5238,0.6504,411.5
418,197,50,0.5227,0.6504,412.5
419,198,50,0.5234,0.6504,413.5
420,197,50,0.5251,0.6504,414.5
421,199,50,0.5260,0.6504,415.5
422,199,50,0.5254,0.6504,416.5
423,195,50,0.5263,0.6504,417.5
424,195,50,0.5266,0.6504,418.5
425,195,50,0.5273,0.6504,419.5
426,199,50,0.5273,0.6504,420.5
427,196,50,0.5273,0.6504,421.5
428,194,50,0.5259,0.6504,422.5
429,196,50,0.5222,0.6504,423.5
430,197,50,0.5203,0.6504,424.5
431,200,50,0.5202,0.6504,425.5
432,198,50,0.5218,0.6504,426.5
433,196,50,0.5231,0.6504,427.5
434,197,50,0.5205,0.6504,428.5
435,195,50,0.5200,0.6504,429.5
436,196,50,0.5239,0.6504,430.5
437,199,50,0.5247,0.6504,431.5
438,198,50,0.5242,0.6504,432.5
439,195,50,0.5241,0.6504,433.5
440,195,50,0.5254,0.6504,434.5
441,195,50,0.5237,0.6504,435.5
442,197,50,0.5223,0.6504,436.5
443,196,50,0.5228,0.6504,437.5
444,195,50,0.5257,0.6504,438.5
445,199,50,0.5276,0.6504,439.5
446,199,50,0.5281,0.6504,440.5
447,195,50,0.5274,0.6504,441.5
448,198,50,0.5283,0.6504,442.5
449,195,50,0.5274,0.6504,443.5
450,196,50,0.5287,0.6504,444.5
451,195,50,0.5300,0.6504,445.5
452,200,50,0.5302,0.6504,446.5
453,198,50,0.5305,0.6504,447.5
454,196,50,0.5324,0.6504,448.5
455,198,50,0.5327,0.6504,449.5
456,199,50,0.5318,0.6504,450.5
457,196,50,0.5300,0.6504,451.5
458,197,50,0.5320,0.6504,452.5
459,197,50,0.5303,0.6504,453.5
460,198,50,0.5305,0.6504,454.5
461,198,50,0.5312,0.6504,455.5
462,199,50,0.5293,0.6504,456.5
463,200,50,0.5295,0.6504,457.5
464,197,50,0.5297,0.6504,458.5
465,197,50,0.5324,0.6504,459.5
466,196,50,0.5310,0.6504,460.5
467,198,50,0.5308,0.6504,461.5
468,200,50,0.5314,0.6504,462.5
469,199,50,0.5316,0.6504,463.5
470,199,50,0.5320,0.6504,464.5
471,195,50,0.5335,0.6504,465.5
472,198,50,0.5340,0.6504,466.5
473,199,50,0.5348,0.6504,467.5
474,196,50,0.5346,0.6504,468.5
475,197,50,0.5310,0.6504,469.5
476,196,50,0.5317,0.6504,470.5
477,198,50,0.5301,0.6504,471.5
478,197,50,0.5312,0.6504,472.5
479,199,50,0.5322,0.6504,473.5
480,198,50,0.5313,0.6504,474.5
481,198,50,0.5333,0.6504,475.5
482,198,50,0.5358,0.6504,476.5
483,194,50,0.5340,0.6504,477.5
484,199,50,0.5340,0.6504,478.5
485,199,50,0.5345,0.6504,479.5
486,196,50,0.5354,0.6504,480.5
487,196,50,0.5353,0.6504,481.5
488,196,50,0.5316,0.6504,482.5
489,196,50,0.5304,0.6504,483.5
490,196,50,0.5308,0.6504,484.5
491,196,50,0.5304,0.6504,485.5
492,199,50,0.5276,0.6504,486.5
493,199,50,0.5245,0.6504,487.5
494,195,50,0.5274,0.6504,488.5
495,199,50,0.5309,0.6504,489.5
496,198,50,0.5308,0.6504,490.5
497,198,50,0.5297,0.6504,491.5
498,196,50,0.5284,0.6504,492.5
499,195,50,0.5300,0.6504,493.5
500,199,50,0.5307,0.6504,494.5
501,198,50,0.5318,0.6504,495.5
502,199,50,0.5323,0.6504,496.5
503,197,50,0.5323,0.6504,497.5
504,196,50,0.5323,0.6504,498.5
505,196,50,0.5339,0.6504,499.5
506,196,50,0.5339,0.6504,500.5
