tick,pop,avg_dist,at_food,knowledge_spread
200,50,82.0,0,0
201,50,82.0,0,0
202,50,82.0,0,0
203,50,82.0,0,0
204,50,82.0,0,0
205,50,82.0,0,0
206,50,82.0,0,0
207,50,81.9,0,0
208,50,81.9,0,0
209,50,81.9,0,0
210,50,81.9,0,0
211,50,81.9,0,0
212,50,81.9,0,0
213,50,81.9,0,0
214,50,81.8,0,0
215,50,81.8,0,0
216,50,81.8,0,0
217,50,81.8,0,0
218,50,81.8,0,0
219,50,81.8,0,0
220,50,81.8,0,0
221,50,81.7,0,0
222,50,81.7,0,0
223,50,81.7,0,0
224,50,81.7,0,0
225,50,81.7,0,0
226,50,81.7,0,0
227,50,81.7,0,0
228,50,81.6,0,0
229,50,81.6,0,0
230,50,81.6,0,0
231,50,81.6,0,0
232,50,81.6,0,0
233,50,81.6,0,0
234,50,81.6,0,0
235,50,81.5,0,0
236,50,81.5,0,0
237,50,81.5,0,0
238,50,81.5,0,0
239,50,81.5,0,0
240,50,81.5,0,0
241,50,81.5,0,0
242,50,81.4,0,0
243,50,81.4,0,0
244,50,81.4,0,0
245,50,81.4,0,0
246,50,81.4,0,0
247,50,81.4,0,0
248,50,81.4,0,0
249,50,81.3,0,0
250,50,81.3,0,0
251,50,81.3,0,0
252,50,81.3,0,0
253,50,81.3,0,0
254,50,81.3,0,0
255,50,81.3,0,0
256,50,81.2,0,0
257,50,81.2,0,0
258,50,81.2,0,0
259,50,81.2,0,0
260,50,81.2,0,0
261,50,81.2,0,0
262,50,81.2,0,0
263,50,81.2,0,0
264,50,81.1,0,0
265,50,81.1,0,0
266,50,81.1,0,0
267,50,81.1,0,0
268,50,81.1,0,0
269,50,81.1,0,0
270,50,81.1,0,0
271,50,81.0,0,0
272,50,81.0,0,0
273,50,81.0,0,0
274,50,81.0,0,0
275,50,81.0,0,0
276,50,81.0,0,0
277,50,81.0,0,0
278,50,80.9,0,0
279,50,80.9,0,0
280,50,80.9,0,0
281,50,80.9,0,0
282,50,80.9,0,0
283,50,80.9,0,0
284,50,80.9,0,0
285,50,80.8,0,0
286,50,80.8,0,0
287,50,80.8,0,0
288,50,80.8,0,0
289,50,80.8,0,0
290,50,80.8,0,0
291,50,80.8,0,0
292,50,80.7,0,0
293,50,80.7,0,0
294,50,80.7,0,0
295,50,80.7,0,0
296,50,80.7,0,0
297,50,80.7,0,0
298,50,80.7,0,0
299,50,80.6,0,0
300,50,80.6,0,0
301,50,80.6,0,0
302,50,80.6,0,0
303,50,80.6,0,0
304,50,80.6,0,0
305,50,80.6,0,0
306,50,80.5,0,0
307,50,80.5,0,0
308,50,80.5,0,0
309,50,80.5,0,0
310,50,80.5,0,0
311,50,80.5,0,0
312,50,80.5,0,0
313,50,80.4,0,0
314,50,80.4,0,0
315,50,80.4,0,0
316,50,80.4,0,0
317,50,80.4,0,0
318,50,80.4,0,0
319,50,80.4,0,0
320,50,80.3,0,0
321,50,80.3,0,0
322,50,80.3,0,0
323,50,80.3,0,0
324,50,80.3,0,0
325,50,80.3,0,0
326,50,80.3,0,0
327,50,80.2,0,0
328,50,80.2,0,0
329,50,80.2,0,0
330,50,80.2,0,0
331,50,80.2,0,0
332,50,80.2,0,0
333,50,80.2,0,0
334,50,80.2,0,0
335,50,80.1,0,0
336,50,80.1,0,0
337,50,80.1,0,0
338,50,80.1,0,0
339,50,80.1,0,0
340,50,80.1,0,0
341,50,80.1,0,0
342,50,80.0,0,0
343,50,80.0,0,0
344,50,80.0,0,0
345,50,80.0,0,0
346,50,80.0,0,0
347,50,80.0,0,0
348,50,80.0,0,0
349,50,79.9,0,0
350,50,79.9,0,0
351,50,79.9,0,0
352,50,79.9,0,0
353,50,79.9,0,0
354,50,79.9,0,0
355,50,79.9,0,0
356,50,79.8,0,0
357,50,79.8,0,0
358,50,79.8,0,0
359,50,79.8,0,0
360,50,79.8,0,0
361,50,79.8,0,0
362,50,79.8,0,0
363,50,79.7,0,0
364,50,79.7,0,0
365,50,79.7,0,0
366,50,79.7,0,0
367,50,79.7,0,0
368,50,79.7,0,0
369,50,79.7,0,0
370,50,79.6,0,0
371,50,79.6,0,0
372,50,79.6,0,0
373,50,79.6,0,0
374,50,79.6,0,0
375,50,79.6,0,0
376,50,79.6,0,0
377,50,79.5,0,0
378,50,79.5,0,0
379,50,79.5,0,0
380,50,79.5,0,0
381,50,79.5,0,0
382,50,79.5,0,0
383,50,79.5,0,0
384,50,79.5,0,0
385,50,79.4,0,0
386,50,79.4,0,0
387,50,79.4,0,0
388,50,79.4,0,0
389,50,79.4,0,0
390,50,79.4,0,0
391,50,79.4,0,0
392,50,79.3,0,0
393,50,79.3,0,0
394,50,79.3,0,0
395,50,79.3,0,0
396,50,79.3,0,0
397,50,79.3,0,0
398,50,79.3,0,0
399,50,79.2,0,0
400,50,79.2,0,0
401,50,79.2,0,0
402,50,79.2,0,0
403,50,79.2,0,0
404,50,79.2,0,0
405,50,79.2,0,0
406,50,79.1,0,0
407,50,79.1,0,0
408,50,79.1,0,0
409,50,79.1,0,0
410,50,79.1,0,0
411,50,79.1,0,0
412,50,79.1,0,0
413,50,79.0,0,0
414,50,79.0,0,0
415,50,79.0,0,0
416,50,79.0,0,0
417,50,79.0,0,0
418,50,79.0,0,0
419,50,79.0,0,0
420,50,78.9,0,0
421,50,78.9,0,0
422,50,78.9,0,0
423,50,78.9,0,0
424,50,78.9,0,0
425,50,78.9,0,0
426,50,78.9,0,0
427,50,78.8,0,0
428,50,78.8,0,0
429,50,78.8,0,0
430,50,78.8,0,0
431,50,78.8,0,0
432,50,78.8,0,0
433,50,78.8,0,0
434,50,78.7,0,0
435,50,78.7,0,0
436,50,78.7,0,0
437,50,78.7,0,0
438,50,78.7,0,0
439,50,78.7,0,0
440,50,78.7,0,0
441,50,78.6,0,0
442,50,78.6,0,0
443,50,78.6,0,0
444,50,78.6,0,0
445,50,78.6,0,0
446,50,78.6,0,0
