tick,season_factor,prey_pop,pred_pop,avg_prey_energy,avg_efficiency
811,0.82,95,5,734.5,0.4430
812,0.84,95,5,738.0,0.4430
813,0.86,95,5,746.7,0.4428
814,0.89,95,5,750.4,0.4428
815,0.90,95,5,754.4,0.4428
816,0.92,95,5,758.5,0.4428
817,0.94,95,5,767.9,0.4418
818,0.95,95,5,772.2,0.4418
819,0.96,95,5,776.5,0.4418
820,0.98,95,5,780.9,0.4418
821,0.98,95,5,790.0,0.4420
822,0.99,95,5,794.3,0.4420
823,1.00,95,5,798.5,0.4420
824,1.00,95,5,802.7,0.4420
825,1.00,95,5,806.8,0.4420
826,1.00,95,5,810.9,0.4420
827,1.00,95,5,815.0,0.4420
828,0.99,95,5,819.2,0.4420
829,0.98,95,5,823.0,0.4420
830,0.98,95,5,826.8,0.4420
831,0.96,95,5,830.4,0.4420
832,0.95,95,5,834.1,0.4420
833,0.94,95,5,837.4,0.4420
834,0.92,95,5,840.9,0.4420
835,0.90,95,5,844.2,0.4420
836,0.89,95,5,847.4,0.4420
837,0.86,95,5,850.5,0.4420
838,0.84,95,5,853.4,0.4420
839,0.82,95,5,855.7,0.4420
840,0.79,95,5,857.8,0.4420
841,0.77,95,5,859.9,0.4420
842,0.74,95,5,861.8,0.4420
843,0.71,95,5,863.1,0.4420
844,0.68,95,5,864.3,0.4420
845,0.65,95,5,865.4,0.4420
846,0.62,95,5,866.3,0.4420
847,0.59,95,5,867.0,0.4420
848,0.56,95,5,872.2,0.4426
849,0.53,95,5,872.0,0.4426
850,0.50,95,5,871.1,0.4426
851,0.47,95,5,870.3,0.4426
852,0.44,95,5,869.0,0.4426
853,0.41,95,5,867.6,0.4426
854,0.38,95,5,870.8,0.4394
855,0.35,95,5,868.4,0.4394
856,0.32,95,5,871.0,0.4406
857,0.29,95,5,867.8,0.4406
858,0.26,95,5,864.5,0.4406
859,0.23,95,5,860.9,0.4406
860,0.21,95,5,857.0,0.4406
861,0.18,95,5,852.9,0.4406
862,0.16,95,5,848.6,0.4406
863,0.14,95,5,844.0,0.4406
864,0.11,95,5,839.5,0.4406
865,0.10,95,5,834.9,0.4406
866,0.08,95,5,830.0,0.4406
867,0.06,95,5,825.0,0.4406
868,0.05,95,5,819.9,0.4406
869,0.04,95,5,814.7,0.4406
870,0.02,95,5,809.6,0.4406
871,0.02,95,5,804.2,0.4406
872,0.01,95,5,799.0,0.4406
873,0.00,95,5,799.0,0.4400
874,0.00,95,5,793.9,0.4400
875,0.00,95,5,788.9,0.4400
876,0.00,95,5,783.8,0.4400
877,0.00,95,5,778.8,0.4400
878,0.01,95,5,773.8,0.4400
879,0.02,95,5,768.8,0.4400
880,0.02,95,5,764.2,0.4400
881,0.04,95,5,759.4,0.4400
882,0.05,95,5,754.9,0.4400
883,0.06,95,5,750.4,0.4400
884,0.08,95,5,746.3,0.4400
885,0.10,95,5,742.3,0.4400
886,0.11,95,5,738.6,0.4400
887,0.14,95,5,735.0,0.4400
888,0.16,95,5,736.8,0.4400
889,0.18,95,5,733.4,0.4400
890,0.21,95,5,730.4,0.4400
891,0.23,95,5,732.7,0.4406
892,0.26,95,5,730.3,0.4406
893,0.29,95,5,728.1,0.4406
894,0.32,95,5,726.3,0.4406
895,0.35,95,5,724.7,0.4406
896,0.38,95,5,723.3,0.4406
897,0.41,95,5,722.3,0.4406
898,0.44,95,5,721.4,0.4406
899,0.47,95,5,721.1,0.4406
900,0.50,95,5,721.0,0.4406
901,0.53,95,5,721.5,0.4406
902,0.56,95,5,722.2,0.4406
903,0.59,95,5,723.4,0.4406
904,0.62,95,5,724.7,0.4406
905,0.65,95,5,726.5,0.4406
906,0.68,95,5,733.3,0.4412
907,0.71,95,5,735.2,0.4412
908,0.74,95,5,737.6,0.4412
909,0.77,95,5,740.4,0.4412
910,0.79,95,5,743.3,0.4412
911,0.82,95,5,746.4,0.4412
912,0.84,95,5,755.0,0.4403
913,0.86,95,5,758.6,0.4403
914,0.89,95,5,762.2,0.4403
915,0.90,95,5,765.8,0.4403
916,0.92,95,5,769.6,0.4403
917,0.94,95,5,773.6,0.4403
918,0.95,95,5,777.8,0.4403
919,0.96,95,5,782.0,0.4403
920,0.98,95,5,786.4,0.4403
921,0.98,95,5,790.8,0.4403
922,0.99,95,5,795.3,0.4403
923,1.00,95,5,799.8,0.4403
924,1.00,95,5,804.3,0.4403
925,1.00,95,5,808.8,0.4403
926,1.00,95,5,813.3,0.4403
927,1.00,95,5,817.7,0.4403
928,0.99,95,5,822.1,0.4403
929,0.98,95,5,826.2,0.4403
930,0.98,95,5,830.4,0.4403
931,0.96,95,5,834.3,0.4403
932,0.95,95,5,838.3,0.4403
933,0.94,95,5,841.9,0.4403
934,0.92,95,5,845.3,0.4403
935,0.90,95,5,848.6,0.4403
936,0.89,95,5,851.8,0.4403
937,0.86,95,5,854.8,0.4403
938,0.84,95,5,857.8,0.4403
939,0.82,95,5,860.3,0.4403
940,0.79,95,5,862.4,0.4403
