tick,lord_energy,peasant_count,wolf_count,knights_active
338,2568.0,11,1,5
339,2565.0,11,1,5
340,2562.0,11,1,5
341,2559.0,11,1,5
342,2556.0,11,1,5
343,2553.0,11,0,5
344,2550.0,11,0,5
345,2547.0,11,0,5
346,2544.0,11,0,5
347,2541.0,11,0,5
348,2538.0,11,0,5
349,2535.0,11,0,5
350,2532.0,11,1,5
351,2529.0,11,1,5
352,2526.0,11,1,5
353,2523.0,11,1,5
354,2520.0,11,1,5
355,2517.0,11,1,5
356,2514.0,11,1,5
357,2511.0,11,1,5
358,2508.0,11,1,5
359,2505.0,11,1,5
360,2502.0,11,1,5
361,2499.0,11,1,5
362,2496.0,11,1,5
363,2493.0,11,1,5
364,2490.0,11,1,5
365,2487.0,11,1,5
366,2484.0,11,1,5
367,2481.0,11,1,5
368,2478.0,11,1,5
369,2475.0,11,1,5
370,2472.0,11,1,5
371,2469.0,11,1,5
372,2466.0,11,1,5
373,2463.0,11,1,5
374,2460.0,11,1,5
375,2457.0,11,1,5
376,2454.0,11,1,5
377,2451.0,11,1,5
378,2448.0,11,1,5
379,2445.0,11,1,5
380,2442.0,11,1,5
381,2439.0,11,1,5
382,2436.0,11,1,5
383,2433.0,11,1,5
384,2430.0,11,1,5
385,2427.0,11,1,5
386,2424.0,11,1,5
387,2421.0,11,1,5
388,2418.0,11,1,5
389,2415.0,11,1,5
390,2412.0,11,1,5
391,2409.0,11,1,5
392,2406.0,11,1,5
393,2403.0,11,1,5
394,2400.0,11,1,5
395,2397.0,11,1,5
396,2394.0,11,1,5
397,2391.0,11,1,5
398,2388.0,11,1,5
399,2385.0,11,1,5
400,2382.0,10,2,5
401,2377.0,10,2,5
402,2372.0,10,2,5
403,2367.0,10,2,5
404,2362.0,10,2,5
405,2357.0,10,2,5
406,2352.0,10,2,5
407,2347.0,10,1,5
408,2342.0,9,1,5
409,2335.0,9,1,5
410,2328.0,8,1,5
411,2319.0,8,1,5
412,2310.0,8,1,5
413,2301.0,8,1,5
414,2292.0,7,1,5
415,2281.0,7,1,5
416,2270.0,7,1,5
417,2259.0,7,1,5
418,2248.0,7,1,5
419,2237.0,7,1,5
420,2226.0,7,1,5
421,2215.0,6,1,5
422,2202.0,6,1,5
423,2189.0,6,0,5
424,2176.0,6,0,5
425,2163.0,6,0,5
426,2150.0,6,0,5
427,2137.0,6,0,5
428,2124.0,6,0,5
429,2111.0,6,0,5
430,2098.0,6,0,5
431,2085.0,6,0,5
432,2072.0,6,0,5
433,2059.0,6,0,5
434,2046.0,6,0,5
435,2033.0,6,0,5
436,2020.0,6,0,5
437,2007.0,6,0,5
438,1994.0,6,0,5
439,1981.0,6,0,5
440,1968.0,6,0,5
441,1955.0,6,0,5
442,1942.0,6,0,5
443,1929.0,6,0,5
444,1916.0,6,0,5
445,1903.0,6,0,5
446,1890.0,6,0,5
447,1877.0,6,0,5
448,1864.0,6,0,5
449,1851.0,6,0,5
450,1838.0,6,1,5
451,1825.0,6,1,5
452,1812.0,6,1,5
453,1799.0,6,1,5
454,1786.0,6,1,5
455,1773.0,6,1,5
456,1760.0,6,1,5
457,1747.0,6,1,5
458,1734.0,6,1,5
459,1721.0,6,1,5
460,1708.0,6,1,5
461,1695.0,6,1,5
462,1682.0,6,1,5
463,1669.0,6,1,5
464,1656.0,6,1,5
465,1643.0,6,1,5
466,1630.0,6,1,5
467,1617.0,6,1,5
