tick,pop_stark,pop_lannister,pop_targ,pop_baratheon,cannibal_acts
647,0,0,0,0,64
648,0,0,0,0,66
649,0,0,0,0,66
650,0,0,0,0,69
651,0,0,0,0,64
652,0,0,0,0,71
653,0,0,0,0,63
654,0,0,0,0,61
655,0,0,0,0,68
656,0,0,0,0,63
657,0,0,0,0,69
658,0,0,0,0,67
659,0,0,0,0,61
660,0,0,0,0,66
661,0,0,0,0,68
662,0,0,0,0,64
663,0,0,0,0,67
664,0,0,0,0,68
665,0,0,0,0,71
666,0,0,0,0,67
667,0,0,0,0,71
668,0,0,0,0,72
669,0,0,0,0,68
670,0,0,0,0,73
671,0,0,0,0,72
672,0,0,0,0,67
673,0,0,0,0,69
674,0,0,0,0,70
675,0,0,0,0,67
676,0,0,0,0,69
677,0,0,0,0,73
678,0,0,0,0,71
679,0,0,0,0,75
680,0,0,0,0,70
681,0,0,0,0,70
682,0,0,0,0,68
683,0,0,0,0,63
684,0,0,0,0,66
685,0,0,0,0,62
686,0,0,0,0,65
687,0,0,0,0,64
688,0,0,0,0,65
689,0,0,0,0,61
690,0,0,0,0,65
691,0,0,0,0,69
692,0,0,0,0,61
693,0,0,0,0,68
694,0,0,0,0,69
695,0,0,0,0,70
696,0,0,0,0,68
697,0,0,0,0,71
698,0,0,0,0,64
699,0,0,0,0,65
700,0,0,0,0,64
701,0,0,0,0,64
702,0,0,0,0,60
703,0,0,0,0,68
704,0,0,0,0,66
705,0,0,0,0,70
706,0,0,0,0,62
707,0,0,0,0,62
708,0,0,0,0,60
709,0,0,0,0,60
710,0,0,0,0,65
711,0,0,0,0,60
712,0,0,0,0,63
713,0,0,0,0,62
714,0,0,0,0,67
715,0,0,0,0,61
716,0,0,0,0,76
717,0,0,0,0,67
718,0,0,0,0,72
719,0,0,0,0,77
720,0,0,0,0,71
721,0,0,0,0,72
722,0,0,0,0,70
723,0,0,0,0,67
724,0,0,0,0,69
725,0,0,0,0,73
726,0,0,0,0,72
727,0,0,0,0,75
728,0,0,0,0,79
729,0,0,0,0,79
730,0,0,0,0,76
731,0,0,0,0,74
732,0,0,0,0,74
733,0,0,0,0,69
734,0,0,0,0,71
735,0,0,0,0,69
736,0,0,0,0,71
737,0,0,0,0,70
738,0,0,0,0,64
739,0,0,0,0,68
740,0,0,0,0,74
741,0,0,0,0,69
742,0,0,0,0,75
743,0,0,0,0,72
744,0,0,0,0,67
745,0,0,0,0,72
746,0,0,0,0,66
747,0,0,0,0,61
748,0,0,0,0,60
749,0,0,0,0,55
750,0,0,0,0,57
751,0,0,0,0,54
752,0,0,0,0,59
753,0,0,0,0,55
754,0,0,0,0,49
755,0,0,0,0,56
756,0,0,0,0,51
757,0,0,0,0,56
758,0,0,0,0,54
759,0,0,0,0,58
760,0,0,0,0,58
761,0,0,0,0,60
762,0,0,0,0,62
763,0,0,0,0,61
764,0,0,0,0,56
765,0,0,0,0,61
766,0,0,0,0,59
767,0,0,0,0,59
768,0,0,0,0,55
769,0,0,0,0,59
770,0,0,0,0,58
771,0,0,0,0,60
772,0,0,0,0,59
773,0,0,0,0,58
774,0,0,0,0,58
775,0,0,0,0,64
776,0,0,0,0,67
777,0,0,0,0,70
778,0,0,0,0,65
779,0,0,0,0,68
780,0,0,0,0,66
781,0,0,0,0,62
782,0,0,0,0,64
783,0,0,0,0,62
784,0,0,0,0,59
785,0,0,0,0,59
786,0,0,0,0,62
787,0,0,0,0,65
788,0,0,0,0,66
789,0,0,0,0,60
790,0,0,0,0,62
791,0,0,0,0,59
792,0,0,0,0,59
793,0,0,0,0,63
794,0,0,0,0,63
795,0,0,0,0,62
796,0,0,0,0,60
797,0,0,0,0,61
798,0,0,0,0,58
799,0,0,0,0,64
800,0,0,0,0,68
801,0,0,0,0,69
802,0,0,0,0,71
803,0,0,0,0,69
804,0,0,0,0,73
805,0,0,0,0,68
806,0,0,0,0,62
807,0,0,0,0,75
808,0,0,0,0,78
809,0,0,0,0,75
810,0,0,0,0,76
811,0,0,0,0,74
812,0,0,0,0,69
813,0,0,0,0,75
814,0,0,0,0,70
815,0,0,0,0,68
816,0,0,0,0,67
817,0,0,0,0,65
818,0,0,0,0,65
819,0,0,0,0,63
820,0,0,0,0,62
821,0,0,0,0,61
822,0,0,0,0,61
823,0,0,0,0,57
824,0,0,0,0,60
825,0,0,0,0,56
826,0,0,0,0,57
827,0,0,0,0,58
828,0,0,0,0,54
829,0,0,0,0,54
830,0,0,0,0,53
831,0,0,0,0,51
832,0,0,0,0,56
833,0,0,0,0,53
834,0,0,0,0,52
835,0,0,0,0,49
836,0,0,0,0,49
837,0,0,0,0,59
838,0,0,0,0,59
839,0,0,0,0,60
840,0,0,0,0,60
841,0,0,0,0,63
842,0,0,0,0,65
843,0,0,0,0,66
844,0,0,0,0,71
845,0,0,0,0,70
846,0,0,0,0,72
847,0,0,0,0,67
848,0,0,0,0,65
849,0,0,0,0,68
850,0,0,0,0,65
851,0,0,0,0,59
852,0,0,0,0,63
853,0,0,0,0,70
854,0,0,0,0,67
855,0,0,0,0,65
856,0,0,0,0,67
857,0,0,0,0,63
858,0,0,0,0,63
859,0,0,0,0,65
860,0,0,0,0,59
861,0,0,0,0,59
862,0,0,0,0,67
863,0,0,0,0,63
864,0,0,0,0,59
865,0,0,0,0,62
866,0,0,0,0,60
867,0,0,0,0,61
868,0,0,0,0,61
869,0,0,0,0,60
870,0,0,0,0,61
871,0,0,0,0,63
872,0,0,0,0,64
873,0,0,0,0,66
874,0,0,0,0,66
875,0,0,0,0,62
876,0,0,0,0,63
877,0,0,0,0,57
878,0,0,0,0,60
879,0,0,0,0,60
880,0,0,0,0,59
881,0,0,0,0,59
882,0,0,0,0,58
883,0,0,0,0,64
884,0,0,0,0,59
885,0,0,0,0,64
886,0,0,0,0,63
887,0,0,0,0,64
888,0,0,0,0,64
889,0,0,0,0,67
890,0,0,0,0,59
891,0,0,0,0,59
892,0,0,0,0,59
893,0,0,0,0,59
894,0,0,0,0,62
895,0,0,0,0,64
896,0,0,0,0,61
897,0,0,0,0,61
898,0,0,0,0,59
899,0,0,0,0,58
900,0,0,0,0,57
901,0,0,0,0,63
902,0,0,0,0,58
903,0,0,0,0,58
904,0,0,0,0,59
905,0,0,0,0,58
906,0,0,0,0,62
907,0,0,0,0,59
908,0,0,0,0,62
909,0,0,0,0,54
910,0,0,0,0,59
911,0,0,0,0,63
912,0,0,0,0,62
913,0,0,0,0,65
914,0,0,0,0,67
915,0,0,0,0,67
916,0,0,0,0,68
917,0,0,0,0,70
918,0,0,0,0,74
919,0,0,0,0,69
920,0,0,0,0,67
921,0,0,0,0,66
922,0,0,0,0,65
923,0,0,0,0,65
924,0,0,0,0,63
925,0,0,0,0,67
926,0,0,0,0,65
927,0,0,0,0,66
928,0,0,0,0,67
929,0,0,0,0,62
930,0,0,0,0,56
931,0,0,0,0,55
932,0,0,0,0,49
933,0,0,0,0,55
934,0,0,0,0,56
935,0,0,0,0,57
936,0,0,0,0,50
937,0,0,0,0,57
938,0,0,0,0,59
939,0,0,0,0,54
940,0,0,0,0,53
941,0,0,0,0,50
942,0,0,0,0,54
943,0,0,0,0,50
944,0,0,0,0,58
945,0,0,0,0,57
946,0,0,0,0,55
947,0,0,0,0,60
948,0,0,0,0,63
949,0,0,0,0,64
950,0,0,0,0,62
951,0,0,0,0,61
952,0,0,0,0,62
953,0,0,0,0,58
954,0,0,0,0,61
955,0,0,0,0,61
956,0,0,0,0,61
957,0,0,0,0,62
958,0,0,0,0,62
959,0,0,0,0,65
960,0,0,0,0,69
961,0,0,0,0,57
962,0,0,0,0,63
963,0,0,0,0,54
964,0,0,0,0,59
965,0,0,0,0,55
966,0,0,0,0,56
967,0,0,0,0,61
968,0,0,0,0,60
969,0,0,0,0,60
970,0,0,0,0,61
971,0,0,0,0,59
972,0,0,0,0,61
973,0,0,0,0,57
974,0,0,0,0,59
975,0,0,0,0,58
976,0,0,0,0,59
977,0,0,0,0,60
978,0,0,0,0,62
979,0,0,0,0,56
980,0,0,0,0,50
981,0,0,0,0,56
982,0,0,0,0,52
983,0,0,0,0,63
984,0,0,0,0,57
985,0,0,0,0,60
986,0,0,0,0,64
987,0,0,0,0,65
988,0,0,0,0,66
989,0,0,0,0,64
990,0,0,0,0,65
991,0,0,0,0,67
992,0,0,0,0,63
993,0,0,0,0,68
994,0,0,0,0,62
995,0,0,0,0,63
996,0,0,0,0,61
997,0,0,0,0,62
998,0,0,0,0,63
999,0,0,0,0,59
1000,0,0,0,0,62
1001,0,0,0,0,63
1002,0,0,0,0,59
1003,0,0,0,0,66
1004,0,0,0,0,61
1005,0,0,0,0,57
1006,0,0,0,0,60
1007,0,0,0,0,60
1008,0,0,0,0,57
1009,0,0,0,0,56
1010,0,0,0,0,53
1011,0,0,0,0,58
1012,0,0,0,0,57
1013,0,0,0,0,60
1014,0,0,0,0,58
1015,0,0,0,0,64
1016,0,0,0,0,62
1017,0,0,0,0,59
1018,0,0,0,0,59
1019,0,0,0,0,57
1020,0,0,0,0,60
1021,0,0,0,0,56
1022,0,0,0,0,60
1023,0,0,0,0,57
1024,0,0,0,0,58
1025,0,0,0,0,58
1026,0,0,0,0,63
1027,0,0,0,0,54
1028,0,0,0,0,56
1029,0,0,0,0,58
1030,0,0,0,0,56
1031,0,0,0,0,55
1032,0,0,0,0,60
1033,0,0,0,0,63
1034,0,0,0,0,60
1035,0,0,0,0,64
1036,0,0,0,0,64
1037,0,0,0,0,60
1038,0,0,0,0,64
1039,0,0,0,0,59
1040,0,0,0,0,62
1041,0,0,0,0,64
1042,0,0,0,0,69
1043,0,0,0,0,66
1044,0,0,0,0,71
1045,0,0,0,0,70
1046,0,0,0,0,67
1047,0,0,0,0,65
1048,0,0,0,0,63
1049,0,0,0,0,67
1050,0,0,0,0,66
1051,0,0,0,0,72
1052,0,0,0,0,73
1053,0,0,0,0,73
1054,0,0,0,0,70
1055,0,0,0,0,67
1056,0,0,0,0,68
1057,0,0,0,0,71
1058,0,0,0,0,74
1059,0,0,0,0,71
1060,0,0,0,0,71
1061,0,0,0,0,71
1062,0,0,0,0,69
1063,0,0,0,0,63
1064,0,0,0,0,62
1065,0,0,0,0,62
1066,0,0,0,0,65
1067,0,0,0,0,70
1068,0,0,0,0,63
1069,0,0,0,0,66
1070,0,0,0,0,65
1071,0,0,0,0,64
1072,0,0,0,0,62
1073,0,0,0,0,63
1074,0,0,0,0,64
1075,0,0,0,0,60
1076,0,0,0,0,65
1077,0,0,0,0,60
1078,0,0,0,0,61
1079,0,0,0,0,64
1080,0,0,0,0,61
1081,0,0,0,0,67
1082,0,0,0,0,63
1083,0,0,0,0,71
1084,0,0,0,0,70
1085,0,0,0,0,71
1086,0,0,0,0,71
1087,0,0,0,0,66
1088,0,0,0,0,66
1089,0,0,0,0,65
1090,0,0,0,0,62
1091,0,0,0,0,61
1092,0,0,0,0,56
1093,0,0,0,0,59
1094,0,0,0,0,62
1095,0,0,0,0,62
1096,0,0,0,0,59
1097,0,0,0,0,60
1098,0,0,0,0,61
1099,0,0,0,0,61
1100,0,0,0,0,62
1101,0,0,0,0,61
1102,0,0,0,0,57
1103,0,0,0,0,58
1104,0,0,0,0,59
1105,0,0,0,0,60
1106,0,0,0,0,59
1107,0,0,0,0,65
1108,0,0,0,0,63
1109,0,0,0,0,64
1110,0,0,0,0,68
1111,0,0,0,0,66
1112,0,0,0,0,69
1113,0,0,0,0,65
1114,0,0,0,0,65
1115,0,0,0,0,63
1116,0,0,0,0,72
1117,0,0,0,0,63
1118,0,0,0,0,61
1119,0,0,0,0,66
1120,0,0,0,0,64
1121,0,0,0,0,66
1122,0,0,0,0,68
1123,0,0,0,0,71
1124,0,0,0,0,62
1125,0,0,0,0,62
