tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_prey_eff
385,191,50,0.6750,0.5021,0.8559
386,195,50,0.6759,0.5021,0.8545
387,199,50,0.6792,0.5021,0.8532
388,199,50,0.6801,0.5021,0.8536
389,196,50,0.6835,0.5021,0.8520
390,196,50,0.6862,0.5021,0.8517
391,196,50,0.6903,0.5021,0.8496
392,195,50,0.6924,0.5021,0.8504
393,196,50,0.6946,0.5021,0.8497
394,193,50,0.6985,0.5021,0.8478
395,197,50,0.6971,0.5021,0.8492
396,199,50,0.6966,0.5021,0.8527
397,195,50,0.7001,0.5021,0.8501
398,192,50,0.7028,0.5021,0.8471
399,197,50,0.7075,0.5021,0.8471
400,196,50,0.7063,0.5021,0.8490
401,198,50,0.7086,0.5021,0.8479
402,197,50,0.7086,0.5021,0.8521
403,197,50,0.7073,0.5021,0.8540
404,195,50,0.7060,0.5021,0.8534
405,198,50,0.7118,0.5021,0.8496
406,190,50,0.7133,0.5021,0.8527
407,194,50,0.7125,0.5021,0.8536
408,198,50,0.7144,0.5021,0.8512
409,197,50,0.7154,0.5021,0.8498
410,195,50,0.7182,0.5021,0.8485
411,196,50,0.7193,0.5021,0.8489
412,196,50,0.7188,0.5021,0.8479
413,196,50,0.7210,0.5021,0.8459
414,193,50,0.7280,0.5021,0.8398
415,199,50,0.7319,0.5021,0.8349
416,199,50,0.7324,0.5021,0.8350
417,195,50,0.7306,0.5021,0.8373
418,194,50,0.7341,0.5021,0.8319
419,197,50,0.7393,0.5021,0.8273
420,195,50,0.7412,0.5021,0.8268
421,194,50,0.7487,0.5021,0.8205
422,197,50,0.7506,0.5021,0.8165
423,192,50,0.7519,0.5021,0.8118
424,199,50,0.7529,0.5021,0.8064
425,195,50,0.7591,0.5021,0.8053
426,194,50,0.7635,0.5021,0.8049
427,195,50,0.7661,0.5021,0.7990
428,196,50,0.7676,0.5021,0.7976
429,195,50,0.7706,0.5021,0.7961
430,198,50,0.7731,0.5021,0.7934
431,193,50,0.7749,0.5021,0.7920
432,196,50,0.7809,0.5021,0.7854
433,197,50,0.7782,0.5021,0.7844
434,194,50,0.7775,0.5021,0.7835
435,200,50,0.7741,0.5021,0.7839
436,196,50,0.7760,0.5021,0.7830
437,197,50,0.7763,0.5021,0.7845
438,198,50,0.7805,0.5021,0.7810
439,199,50,0.7811,0.5021,0.7784
440,196,50,0.7815,0.5021,0.7786
441,195,50,0.7830,0.5021,0.7776
442,198,50,0.7852,0.5021,0.7771
443,196,50,0.7873,0.5021,0.7748
444,196,50,0.7857,0.5021,0.7757
445,196,50,0.7864,0.5021,0.7701
446,198,50,0.7860,0.5021,0.7720
447,194,50,0.7909,0.5021,0.7699
448,194,50,0.7963,0.5021,0.7647
449,195,50,0.7960,0.5021,0.7605
450,199,50,0.7946,0.5021,0.7634
451,195,50,0.7953,0.5021,0.7635
452,198,50,0.7947,0.5021,0.7595
453,196,50,0.7941,0.5021,0.7600
454,197,50,0.7959,0.5021,0.7595
455,196,50,0.7956,0.5021,0.7621
456,197,50,0.7982,0.5021,0.7611
457,195,50,0.8008,0.5021,0.7599
458,197,50,0.7976,0.5021,0.7606
459,193,50,0.7986,0.5021,0.7602
460,195,50,0.8007,0.5021,0.7591
461,196,50,0.8025,0.5021,0.7592
462,196,50,0.8036,0.5021,0.7576
463,199,50,0.8019,0.5021,0.7601
464,198,50,0.8017,0.5021,0.7624
465,195,50,0.8000,0.5021,0.7666
466,193,50,0.7934,0.5021,0.7661
467,195,50,0.7965,0.5021,0.7656
468,197,50,0.7973,0.5021,0.7615
469,195,50,0.7997,0.5021,0.7605
470,194,50,0.7989,0.5021,0.7571
471,197,50,0.8062,0.5021,0.7552
472,197,50,0.8099,0.5021,0.7516
473,190,50,0.8143,0.5021,0.7514
474,198,50,0.8157,0.5021,0.7523
475,197,50,0.8147,0.5021,0.7520
476,198,50,0.8142,0.5021,0.7509
477,195,50,0.8153,0.5021,0.7520
478,194,50,0.8163,0.5021,0.7533
479,199,50,0.8162,0.5021,0.7515
480,195,50,0.8193,0.5021,0.7501
481,196,50,0.8250,0.5021,0.7469
482,194,50,0.8310,0.5021,0.7476
483,198,50,0.8288,0.5021,0.7504
484,195,50,0.8291,0.5021,0.7486
485,198,50,0.8283,0.5021,0.7467
486,197,50,0.8286,0.5021,0.7495
487,191,50,0.8326,0.5021,0.7451
488,199,50,0.8298,0.5021,0.7454
489,198,50,0.8319,0.5021,0.7444
490,197,50,0.8321,0.5021,0.7418
491,197,50,0.8356,0.5021,0.7448
492,196,50,0.8331,0.5021,0.7462
493,196,50,0.8314,0.5021,0.7469
494,195,50,0.8357,0.5021,0.7425
495,196,50,0.8363,0.5021,0.7429
496,192,50,0.8410,0.5021,0.7410
497,198,50,0.8448,0.5021,0.7397
498,195,50,0.8491,0.5021,0.7305
499,196,50,0.8514,0.5021,0.7301
500,193,50,0.8577,0.5021,0.7313
501,198,50,0.8615,0.5021,0.7300
502,197,50,0.8604,0.5021,0.7320
503,193,50,0.8624,0.5021,0.7342
504,198,50,0.8602,0.5021,0.7386
505,196,50,0.8589,0.5021,0.7349
506,195,50,0.8623,0.5021,0.7372
507,197,50,0.8581,0.5021,0.7400
508,199,50,0.8605,0.5021,0.7389
509,197,50,0.8618,0.5021,0.7367
510,198,50,0.8618,0.5021,0.7359
511,196,50,0.8599,0.5021,0.7371
512,192,50,0.8597,0.5021,0.7421
513,197,50,0.8645,0.5021,0.7401
514,197,50,0.8650,0.5021,0.7385
515,192,50,0.8646,0.5021,0.7421
516,196,50,0.8628,0.5021,0.7467
517,196,50,0.8625,0.5021,0.7474
518,198,50,0.8602,0.5021,0.7503
519,196,50,0.8630,0.5021,0.7483
520,197,50,0.8607,0.5021,0.7506
521,196,50,0.8644,0.5021,0.7471
522,194,50,0.8623,0.5021,0.7438
523,194,50,0.8635,0.5021,0.7414
524,198,50,0.8620,0.5021,0.7461
525,197,50,0.8607,0.5021,0.7471
526,197,50,0.8603,0.5021,0.7515
527,196,50,0.8624,0.5021,0.7486
528,193,50,0.8653,0.5021,0.7412
529,198,50,0.8635,0.5021,0.7477
530,197,50,0.8617,0.5021,0.7477
531,196,50,0.8612,0.5021,0.7504
532,194,50,0.8597,0.5021,0.7564
533,193,50,0.8552,0.5021,0.7579
534,197,50,0.8565,0.5021,0.7547
535,199,50,0.8518,0.5021,0.7594
536,196,50,0.8526,0.5021,0.7623
537,198,50,0.8510,0.5021,0.7665
538,196,50,0.8480,0.5021,0.7666
539,197,50,0.8492,0.5021,0.7670
540,197,50,0.8484,0.5021,0.7647
541,197,50,0.8487,0.5021,0.7646
542,196,50,0.8490,0.5021,0.7633
543,197,50,0.8447,0.5021,0.7628
544,196,50,0.8456,0.5021,0.7642
545,198,50,0.8490,0.5021,0.7661
546,196,50,0.8483,0.5021,0.7679
547,195,50,0.8426,0.5021,0.7681
548,195,50,0.8445,0.5021,0.7719
549,197,50,0.8443,0.5021,0.7737
550,197,50,0.8412,0.5021,0.7761
551,196,50,0.8429,0.5021,0.7740
552,196,50,0.8403,0.5021,0.7732
553,197,50,0.8406,0.5021,0.7715
554,196,50,0.8431,0.5021,0.7725
555,199,50,0.8436,0.5021,0.7735
556,198,50,0.8440,0.5021,0.7754
557,197,50,0.8433,0.5021,0.7736
558,196,50,0.8412,0.5021,0.7734
559,195,50,0.8385,0.5021,0.7761
560,195,50,0.8379,0.5021,0.7775
561,192,50,0.8340,0.5021,0.7736
562,197,50,0.8325,0.5021,0.7762
563,195,50,0.8269,0.5021,0.7776
564,194,50,0.8328,0.5021,0.7779
565,194,50,0.8279,0.5021,0.7712
566,197,50,0.8294,0.5021,0.7656
567,197,50,0.8289,0.5021,0.7634
568,198,50,0.8269,0.5021,0.7633
569,195,50,0.8271,0.5021,0.7600
570,196,50,0.8300,0.5021,0.7643
571,197,50,0.8317,0.5021,0.7588
572,197,50,0.8302,0.5021,0.7582
573,198,50,0.8309,0.5021,0.7526
574,194,50,0.8311,0.5021,0.7508
575,193,50,0.8293,0.5021,0.7538
576,195,50,0.8334,0.5021,0.7503
577,198,50,0.8339,0.5021,0.7532
578,197,50,0.8347,0.5021,0.7562
579,194,50,0.8367,0.5021,0.7578
580,195,50,0.8400,0.5021,0.7597
581,196,50,0.8359,0.5021,0.7643
582,195,50,0.8301,0.5021,0.7641
583,198,50,0.8329,0.5021,0.7640
584,200,50,0.8337,0.5021,0.7652
585,199,50,0.8344,0.5021,0.7637
586,197,50,0.8329,0.5021,0.7638
587,198,50,0.8332,0.5021,0.7632
588,197,50,0.8329,0.5021,0.7655
589,196,50,0.8335,0.5021,0.7633
590,196,50,0.8343,0.5021,0.7633
591,190,50,0.8296,0.5021,0.7691
592,197,50,0.8300,0.5021,0.7667
593,196,50,0.8309,0.5021,0.7652
594,196,50,0.8301,0.5021,0.7664
595,194,50,0.8287,0.5021,0.7678
596,193,50,0.8270,0.5021,0.7703
597,196,50,0.8274,0.5021,0.7667
598,197,50,0.8300,0.5021,0.7669
599,194,50,0.8316,0.5021,0.7655
600,195,50,0.8320,0.5021,0.7601
601,198,50,0.8320,0.5021,0.7624
602,193,50,0.8348,0.5021,0.7559
603,197,50,0.8358,0.5021,0.7519
604,196,50,0.8385,0.5021,0.7509
605,198,50,0.8381,0.5021,0.7567
606,196,50,0.8369,0.5021,0.7579
607,199,50,0.8362,0.5021,0.7616
608,196,50,0.8392,0.5021,0.7619
609,194,50,0.8419,0.5021,0.7607
610,197,50,0.8443,0.5021,0.7616
611,197,50,0.8417,0.5021,0.7566
612,198,50,0.8408,0.5021,0.7532
613,194,50,0.8392,0.5021,0.7522
614,196,50,0.8355,0.5021,0.7510
615,194,50,0.8350,0.5021,0.7531
616,195,50,0.8370,0.5021,0.7537
617,199,50,0.8320,0.5021,0.7566
618,196,50,0.8311,0.5021,0.7566
619,198,50,0.8342,0.5021,0.7549
620,196,50,0.8315,0.5021,0.7556
621,198,50,0.8335,0.5021,0.7549
622,194,50,0.8339,0.5021,0.7593
623,197,50,0.8354,0.5021,0.7545
624,193,50,0.8324,0.5021,0.7525
625,196,50,0.8321,0.5021,0.7525
626,196,50,0.8324,0.5021,0.7527
627,196,50,0.8303,0.5021,0.7523
628,196,50,0.8348,0.5021,0.7521
629,198,50,0.8344,0.5021,0.7517
630,197,50,0.8338,0.5021,0.7523
