tick,prey_pop,pred_pop,avg_prey_eff,avg_prey_fert,avg_pred_hunt,avg_pred_eff
249,190,10,0.8778,0.5084,0.8584,0.4937
250,190,10,0.8778,0.5084,0.8584,0.4937
251,190,10,0.8778,0.5084,0.8584,0.4937
252,190,10,0.8778,0.5084,0.8584,0.4937
253,190,10,0.8778,0.5084,0.8584,0.4937
254,190,10,0.8778,0.5084,0.8584,0.4937
255,190,10,0.8778,0.5084,0.8584,0.4937
256,190,10,0.8778,0.5084,0.8584,0.4937
257,190,10,0.8778,0.5084,0.8584,0.4937
258,190,10,0.8778,0.5084,0.8584,0.4937
259,190,10,0.8778,0.5084,0.8584,0.4937
260,190,10,0.8778,0.5084,0.8584,0.4937
261,190,10,0.8778,0.5084,0.8584,0.4937
262,190,10,0.8778,0.5084,0.8584,0.4937
263,190,10,0.8778,0.5084,0.8584,0.4937
264,190,10,0.8778,0.5084,0.8584,0.4937
265,190,10,0.8778,0.5084,0.8584,0.4937
266,190,10,0.8778,0.5084,0.8584,0.4937
267,190,10,0.8778,0.5084,0.8584,0.4937
268,190,10,0.8778,0.5084,0.8584,0.4937
269,190,10,0.8778,0.5084,0.8584,0.4937
270,190,10,0.8778,0.5084,0.8584,0.4937
271,190,10,0.8778,0.5084,0.8584,0.4937
272,190,10,0.8778,0.5084,0.8584,0.4937
273,190,10,0.8778,0.5084,0.8584,0.4937
274,190,10,0.8778,0.5084,0.8584,0.4937
275,190,10,0.8778,0.5084,0.8584,0.4937
276,190,10,0.8778,0.5084,0.8584,0.4937
277,190,10,0.8778,0.5084,0.8584,0.4937
278,190,10,0.8778,0.5084,0.8584,0.4937
279,190,10,0.8778,0.5084,0.8584,0.4937
280,190,10,0.8778,0.5084,0.8584,0.4937
281,190,10,0.8778,0.5084,0.8584,0.4937
282,190,10,0.8778,0.5084,0.8584,0.4937
283,190,10,0.8778,0.5084,0.8584,0.4937
284,190,10,0.8778,0.5084,0.8584,0.4937
285,190,10,0.8778,0.5084,0.8584,0.4937
286,190,10,0.8778,0.5084,0.8584,0.4937
287,190,10,0.8778,0.5084,0.8584,0.4937
288,190,10,0.8778,0.5084,0.8584,0.4937
289,190,10,0.8778,0.5084,0.8584,0.4937
290,190,10,0.8778,0.5084,0.8584,0.4937
291,190,10,0.8778,0.5084,0.8584,0.4937
292,190,10,0.8778,0.5084,0.8584,0.4937
293,190,10,0.8778,0.5084,0.8584,0.4937
294,190,10,0.8778,0.5084,0.8584,0.4937
295,190,10,0.8778,0.5084,0.8584,0.4937
296,190,10,0.8778,0.5084,0.8584,0.4937
297,190,10,0.8778,0.5084,0.8584,0.4937
298,190,10,0.8778,0.5084,0.8584,0.4937
299,190,10,0.8778,0.5084,0.8584,0.4937
300,190,10,0.8778,0.5084,0.8584,0.4937
301,190,10,0.8778,0.5084,0.8584,0.4937
302,190,10,0.8778,0.5084,0.8584,0.4937
303,190,10,0.8778,0.5084,0.8584,0.4937
304,190,10,0.8778,0.5084,0.8584,0.4937
305,190,10,0.8778,0.5084,0.8584,0.4937
306,190,10,0.8778,0.5084,0.8584,0.4937
307,190,10,0.8778,0.5084,0.8584,0.4937
308,190,10,0.8778,0.5084,0.8584,0.4937
309,190,10,0.8778,0.5084,0.8584,0.4937
310,190,10,0.8778,0.5084,0.8584,0.4937
311,190,10,0.8778,0.5084,0.8584,0.4937
312,190,10,0.8778,0.5084,0.8584,0.4937
313,190,10,0.8778,0.5084,0.8584,0.4937
314,190,10,0.8778,0.5084,0.8584,0.4937
315,190,10,0.8778,0.5084,0.8584,0.4937
316,190,10,0.8778,0.5084,0.8584,0.4937
317,190,10,0.8778,0.5084,0.8584,0.4937
318,190,10,0.8778,0.5084,0.8584,0.4937
319,190,10,0.8778,0.5084,0.8584,0.4937
320,190,10,0.8778,0.5084,0.8584,0.4937
321,190,10,0.8778,0.5084,0.8584,0.4937
322,190,10,0.8778,0.5084,0.8584,0.4937
323,190,10,0.8778,0.5084,0.8584,0.4937
324,190,10,0.8778,0.5084,0.8584,0.4937
325,190,10,0.8778,0.5084,0.8584,0.4937
326,190,10,0.8778,0.5084,0.8584,0.4937
327,190,10,0.8778,0.5084,0.8584,0.4937
328,190,10,0.8778,0.5084,0.8584,0.4937
329,190,10,0.8778,0.5084,0.8584,0.4937
330,190,10,0.8778,0.5084,0.8584,0.4937
331,190,10,0.8778,0.5084,0.8584,0.4937
332,190,10,0.8778,0.5084,0.8584,0.4937
333,190,10,0.8778,0.5084,0.8584,0.4937
334,190,10,0.8778,0.5084,0.8584,0.4937
335,190,10,0.8778,0.5084,0.8584,0.4937
336,190,10,0.8778,0.5084,0.8584,0.4937
337,190,10,0.8778,0.5084,0.8584,0.4937
338,190,10,0.8778,0.5084,0.8584,0.4937
339,190,10,0.8778,0.5084,0.8584,0.4937
340,190,10,0.8778,0.5084,0.8584,0.4937
341,190,10,0.8778,0.5084,0.8584,0.4937
342,190,10,0.8778,0.5084,0.8584,0.4937
343,190,10,0.8778,0.5084,0.8584,0.4937
344,190,10,0.8778,0.5084,0.8584,0.4937
345,190,10,0.8778,0.5084,0.8584,0.4937
346,190,10,0.8778,0.5084,0.8584,0.4937
347,190,10,0.8778,0.5084,0.8584,0.4937
348,190,10,0.8778,0.5084,0.8584,0.4937
349,190,10,0.8778,0.5084,0.8584,0.4937
350,190,10,0.8778,0.5084,0.8584,0.4937
351,190,10,0.8778,0.5084,0.8584,0.4937
352,190,10,0.8778,0.5084,0.8584,0.4937
353,190,10,0.8778,0.5084,0.8584,0.4937
354,190,10,0.8778,0.5084,0.8584,0.4937
355,190,10,0.8778,0.5084,0.8584,0.4937
356,190,10,0.8778,0.5084,0.8584,0.4937
357,190,10,0.8778,0.5084,0.8584,0.4937
358,190,10,0.8778,0.5084,0.8584,0.4937
359,190,10,0.8778,0.5084,0.8584,0.4937
360,190,10,0.8778,0.5084,0.8584,0.4937
361,190,10,0.8778,0.5084,0.8584,0.4937
362,190,10,0.8778,0.5084,0.8584,0.4937
363,190,10,0.8778,0.5084,0.8584,0.4937
364,190,10,0.8778,0.5084,0.8584,0.4937
365,190,10,0.8778,0.5084,0.8584,0.4937
366,190,10,0.8778,0.5084,0.8584,0.4937
367,190,10,0.8778,0.5084,0.8584,0.4937
368,190,10,0.8778,0.5084,0.8584,0.4937
369,190,10,0.8778,0.5084,0.8584,0.4937
370,190,10,0.8778,0.5084,0.8584,0.4937
371,190,10,0.8778,0.5084,0.8584,0.4937
372,190,10,0.8778,0.5084,0.8584,0.4937
373,190,10,0.8778,0.5084,0.8584,0.4937
374,190,10,0.8778,0.5084,0.8584,0.4937
375,190,10,0.8778,0.5084,0.8584,0.4937
376,190,10,0.8778,0.5084,0.8584,0.4937
377,190,10,0.8778,0.5084,0.8584,0.4937
378,190,10,0.8778,0.5084,0.8584,0.4937
379,190,10,0.8778,0.5084,0.8584,0.4937
380,190,10,0.8778,0.5084,0.8584,0.4937
381,190,10,0.8778,0.5084,0.8584,0.4937
382,190,10,0.8778,0.5084,0.8584,0.4937
383,190,10,0.8778,0.5084,0.8584,0.4937
384,190,10,0.8778,0.5084,0.8584,0.4937
385,190,10,0.8778,0.5084,0.8584,0.4937
386,190,10,0.8778,0.5084,0.8584,0.4937
387,190,10,0.8778,0.5084,0.8584,0.4937
388,190,10,0.8778,0.5084,0.8584,0.4937
389,190,10,0.8778,0.5084,0.8584,0.4937
390,190,10,0.8778,0.5084,0.8584,0.4937
391,190,10,0.8778,0.5084,0.8584,0.4937
392,190,10,0.8778,0.5084,0.8584,0.4937
393,190,10,0.8778,0.5084,0.8584,0.4937
394,190,10,0.8778,0.5084,0.8584,0.4937
395,190,10,0.8778,0.5084,0.8584,0.4937
396,190,10,0.8778,0.5084,0.8584,0.4937
397,190,10,0.8778,0.5084,0.8584,0.4937
398,190,10,0.8778,0.5084,0.8584,0.4937
399,190,10,0.8778,0.5084,0.8584,0.4937
400,190,10,0.8778,0.5084,0.8584,0.4937
401,190,10,0.8778,0.5084,0.8584,0.4937
402,190,10,0.8778,0.5084,0.8584,0.4937
403,190,10,0.8778,0.5084,0.8584,0.4937
404,190,10,0.8778,0.5084,0.8584,0.4937
405,190,10,0.8778,0.5084,0.8584,0.4937
406,190,10,0.8778,0.5084,0.8584,0.4937
407,190,10,0.8778,0.5084,0.8584,0.4937
408,190,10,0.8778,0.5084,0.8584,0.4937
409,190,10,0.8778,0.5084,0.8584,0.4937
410,190,10,0.8778,0.5084,0.8584,0.4937
411,190,10,0.8778,0.5084,0.8584,0.4937
412,190,10,0.8778,0.5084,0.8584,0.4937
413,190,10,0.8778,0.5084,0.8584,0.4937
414,190,10,0.8778,0.5084,0.8584,0.4937
415,190,10,0.8778,0.5084,0.8584,0.4937
416,190,10,0.8778,0.5084,0.8584,0.4937
417,190,10,0.8778,0.5084,0.8584,0.4937
418,190,10,0.8778,0.5084,0.8584,0.4937
419,190,10,0.8778,0.5084,0.8584,0.4937
420,190,10,0.8778,0.5084,0.8584,0.4937
421,190,10,0.8778,0.5084,0.8584,0.4937
422,190,10,0.8778,0.5084,0.8584,0.4937
423,190,10,0.8778,0.5084,0.8584,0.4937
424,190,10,0.8778,0.5084,0.8584,0.4937
425,190,10,0.8778,0.5084,0.8584,0.4937
426,190,10,0.8778,0.5084,0.8584,0.4937
427,190,10,0.8778,0.5084,0.8584,0.4937
428,190,10,0.8778,0.5084,0.8584,0.4937
429,190,10,0.8778,0.5084,0.8584,0.4937
430,190,10,0.8778,0.5084,0.8584,0.4937
431,190,10,0.8778,0.5084,0.8584,0.4937
432,190,10,0.8778,0.5084,0.8584,0.4937
433,190,10,0.8778,0.5084,0.8584,0.4937
434,190,10,0.8778,0.5084,0.8584,0.4937
435,190,10,0.8778,0.5084,0.8584,0.4937
436,190,10,0.8778,0.5084,0.8584,0.4937
437,190,10,0.8778,0.5084,0.8584,0.4937
438,190,10,0.8778,0.5084,0.8584,0.4937
439,190,10,0.8778,0.5084,0.8584,0.4937
440,190,10,0.8778,0.5084,0.8584,0.4937
441,190,10,0.8778,0.5084,0.8584,0.4937
