tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
142,21,21,376.940778621793,380.1984985592298
143,21,21,377.3639224898323,380.6316983424908
144,21,21,377.28989519709427,379.9299909938075
145,21,21,377.55312284302244,380.8204036624596
146,21,21,378.2906766138852,381.56745490106533
147,21,21,378.89727621410225,381.285831268657
148,21,21,377.8216812854905,380.86447053163647
149,21,21,376.36014835478124,380.48886509366685
150,21,21,376.79471944149753,382.47277459116793
151,21,21,377.34226872777504,383.0471052352611
152,21,21,378.4520468616611,382.53893707934003
153,21,21,378.94632350539024,380.70833175308405
154,21,21,378.4092703686897,381.101833037559
155,21,21,376.6637593496077,381.52086506960393
156,21,21,378.10693782073315,383.3378299384858
157,21,21,377.9815196836761,384.2778251220442
158,21,21,377.7158808157903,383.9370216478939
159,21,21,377.4035663490153,382.84862967334215
160,21,21,378.6319677606443,382.26507500008853
161,21,21,378.28056229090936,382.0226431186683
162,21,21,379.1044147838769,383.54659949304164
163,21,21,379.5517478062,383.4584778215984
164,21,21,378.8984556915162,382.61365380808917
165,21,21,377.71254947651227,383.847706256849
166,21,21,378.59536097683736,384.8961813275521
167,21,21,379.12611914906955,383.53556484865953
168,21,21,379.56430754683447,384.2520673074614
169,21,22,379.6908220928634,383.6290325389234
170,21,22,378.53339006865804,383.39219650116456
171,21,22,378.89328075796425,384.70012118994316
172,21,22,377.44304714480006,384.8448159005356
173,21,22,379.75709900303116,384.51879918538185
174,21,22,380.9268805697757,385.0466545834227
175,21,22,378.76131218079126,384.6074625118922
176,21,22,379.8731251904618,383.351071544851
177,21,22,379.7035039200132,385.4660163000567
178,21,22,380.0461515668688,385.58806981080636
179,21,22,378.6143616430537,385.5767444709167
180,21,22,379.5779806685865,384.5660397828319
181,21,22,379.1798452845093,384.40745546305175
182,21,22,378.9760837256381,383.49025562170846
183,21,22,379.7963904566628,383.8633661500016
184,21,22,379.93891160965865,384.45989010621753
185,21,22,380.36156645572083,383.91360477217233
186,21,22,379.85701517145543,385.5383547346097
187,21,22,378.4600818967643,385.1203493174116
188,21,22,377.4217687402339,384.6822295998674
189,21,22,379.800991994995,384.1102462070504
190,21,22,379.7686299526003,384.378895226325
191,21,22,378.854915865851,384.33326591412674
192,21,22,379.1446369938652,386.3355277458685
193,22,22,380.2353412268622,385.572076358847
194,22,22,380.4307616344912,386.07360568339044
195,22,22,380.00811403900116,385.9345683576031
196,22,23,379.8799053347734,386.13261785812523
197,22,23,380.8123008138999,388.559221753404
198,22,23,380.4104825260849,386.9477663533113
199,22,23,380.6800369106347,386.3956624413288
200,22,23,380.2698118419923,385.5089652318763
201,22,23,380.76797037677875,388.2882361681964
202,22,23,379.69578959778835,387.9423502998188
203,22,23,380.92105482511886,386.7827960342485
204,22,23,380.8740233513234,387.03574612123407
205,22,23,380.77678504870374,387.88267481042703
206,22,23,380.6167228200017,388.3277779867089
207,22,23,380.19701548813947,387.65749899501816
208,22,23,379.67105389654716,386.128033406956
209,22,23,380.1464564431522,386.90222151504463
210,22,23,381.82828473857,388.1350390057996
211,22,23,380.686496055092,388.9998664541299
212,22,23,379.6100599343794,388.0789307671895
213,22,23,380.2747970394726,388.1472616958312
214,22,23,380.3684833246877,386.61092432552056
215,22,23,379.29723636327606,387.23111599551567
216,22,23,380.87234225513447,387.41280032345946
217,22,23,381.9883240549299,387.6979324307888
218,22,23,380.59800386358074,388.4199048029735
219,22,23,380.16230691963125,387.1466895791139
220,22,23,380.6045931015105,387.0547970411837
221,22,23,379.3860745916678,387.5075435998579
222,22,23,379.2767781472474,388.1530169066481
223,22,23,380.82947655101594,388.003406354145
224,22,23,381.702808094135,386.71416308780505
225,22,23,381.1897833337635,387.6734049363552
226,22,23,379.14120592645344,387.7303847637567
227,22,23,379.99286493676635,388.3500093993961
228,22,23,380.10816619571744,387.3487436263525
229,22,23,380.25310859090825,388.9023732398818
230,22,23,380.76198650535633,389.3401043637947
231,22,23,381.69900309462565,388.5398074416566
232,22,23,380.3709909767369,388.4321171992595
233,22,23,378.8768522142152,388.1787613353067
234,22,23,380.46760751662123,388.48819340151175
