tick,pop_boss,pop_worker,avg_nrg_boss,avg_nrg_worker,contracts
543,20,180,4867.3,160.9,180
544,20,180,4857.2,160.6,180
545,20,180,4847.1,160.3,180
546,20,180,4837.0,159.9,180
547,20,180,4827.0,159.6,180
548,20,180,4817.1,159.3,180
549,20,180,4807.1,158.9,180
550,20,180,4797.2,158.6,180
551,20,180,4787.4,158.3,180
552,20,180,4777.5,158.0,180
553,20,180,4767.8,157.6,180
554,20,180,4758.0,157.3,180
555,20,180,4748.3,157.0,180
556,20,180,4738.6,156.7,180
557,20,180,4729.0,156.3,180
558,20,180,4719.4,156.0,180
559,20,180,4709.8,155.7,180
560,20,180,4700.3,155.4,180
561,20,180,4690.8,155.1,180
562,20,180,4681.4,154.8,180
563,20,180,4671.9,154.4,180
564,20,180,4662.6,154.1,180
565,20,180,4653.2,153.8,180
566,20,180,4643.9,153.5,180
567,20,180,4634.6,153.2,180
568,20,180,4625.4,152.9,180
569,20,180,4616.2,152.6,180
570,20,180,4607.0,152.3,180
571,20,180,4597.9,152.0,180
572,20,180,4588.8,151.7,180
573,20,180,4579.7,151.4,180
574,20,180,4570.7,151.1,180
575,20,180,4561.7,150.8,180
576,20,180,4552.7,150.5,180
577,20,180,4543.8,150.2,180
578,20,180,4534.9,149.9,180
579,20,180,4526.0,149.6,180
580,20,180,4517.2,149.3,180
581,20,180,4508.4,149.0,180
582,20,180,4499.7,148.7,180
583,20,180,4490.9,148.4,180
584,20,180,4482.2,148.1,180
585,20,180,4473.6,147.8,180
586,20,180,4464.9,147.6,180
587,20,180,4456.4,147.3,180
588,20,180,4447.8,147.0,180
589,20,180,4439.3,146.7,180
590,20,180,4430.7,146.4,180
591,20,180,4422.3,146.1,180
592,20,180,4413.8,145.9,180
593,20,180,4405.4,145.6,180
594,20,180,4397.1,145.3,180
595,20,180,4388.7,145.0,180
596,20,180,4380.4,144.7,180
597,20,180,4372.1,144.5,180
598,20,180,4363.9,144.2,180
599,20,180,4355.6,143.9,180
600,20,180,4347.4,143.6,180
601,20,180,4339.3,143.4,180
602,20,180,4331.1,143.1,180
603,20,180,4323.0,142.8,180
604,20,180,4315.0,142.6,180
605,20,180,4306.9,142.3,180
606,20,180,4298.9,142.0,180
607,20,180,4290.9,141.8,180
608,20,180,4282.9,141.5,180
609,20,180,4275.0,141.2,180
610,20,180,4267.1,141.0,180
611,20,180,4259.2,140.7,180
612,20,180,4251.4,140.4,180
613,20,180,4243.6,140.2,180
614,20,180,4235.8,139.9,180
615,20,180,4228.0,139.7,180
616,20,180,4220.3,139.4,180
617,20,180,4212.6,139.2,180
618,20,180,4204.9,138.9,180
619,20,180,4197.2,138.6,180
620,20,180,4189.6,138.4,180
621,20,180,4182.0,138.1,180
622,20,180,4174.5,137.9,180
623,20,180,4166.9,137.6,180
624,20,180,4159.4,137.4,180
625,20,180,4151.9,137.1,180
626,20,180,4144.4,136.9,180
627,20,180,4137.0,136.6,180
628,20,180,4129.6,136.4,180
629,20,180,4122.2,136.1,180
630,20,180,4114.8,135.9,180
631,20,180,4107.5,135.7,180
632,20,180,4100.2,135.4,180
633,20,180,4092.9,135.2,180
634,20,180,4085.6,134.9,180
635,20,180,4078.4,134.7,180
636,20,180,4071.2,134.5,180
637,20,180,4064.0,134.2,180
638,20,180,4056.8,134.0,180
639,20,180,4049.7,133.7,180
640,20,180,4042.6,133.5,180
641,20,180,4035.5,133.3,180
642,20,180,4028.4,133.0,180
643,20,180,4021.4,132.8,180
644,20,180,4014.3,132.6,180
645,20,180,4007.3,132.3,180
646,20,180,4000.4,132.1,180
647,20,180,3993.4,131.9,180
648,20,180,3986.5,131.6,180
649,20,180,3979.6,131.4,180
650,20,180,3972.7,131.2,180
651,20,180,3965.9,130.9,180
652,20,180,3959.0,130.7,180
653,20,180,3952.2,130.5,180
654,20,180,3945.4,130.3,180
655,20,180,3938.7,130.0,180
656,20,180,3931.9,129.8,180
657,20,180,3925.2,129.6,180
658,20,180,3918.5,129.4,180
659,20,180,3911.8,129.1,180
660,20,180,3905.2,128.9,180
661,20,180,3898.5,128.7,180
662,20,180,3891.9,128.5,180
663,20,180,3885.3,128.3,180
664,20,180,3878.7,128.0,180
665,20,180,3872.2,127.8,180
666,20,180,3865.7,127.6,180
667,20,180,3859.2,127.4,180
668,20,180,3852.7,127.2,180
669,20,180,3846.2,127.0,180
670,20,180,3839.8,126.8,180
671,20,180,3833.4,126.5,180
672,20,180,3827.0,126.3,180
673,20,180,3820.6,126.1,180
674,20,180,3814.2,125.9,180
675,20,180,3807.9,125.7,180
676,20,180,3801.5,125.5,180
677,20,180,3795.2,125.3,180
678,20,180,3789.0,125.1,180
679,20,180,3782.7,124.9,180
680,20,180,3776.5,124.6,180
681,20,180,3770.2,124.4,180
682,20,180,3764.0,124.2,180
683,20,180,3757.9,124.0,180
684,20,180,3751.7,123.8,180
685,20,180,3745.6,123.6,180
686,20,180,3739.4,123.4,180
687,20,180,3733.3,123.2,180
688,20,180,3727.2,123.0,180
689,20,180,3721.2,122.8,180
690,20,180,3715.1,122.6,180
691,20,180,3709.1,122.4,180
692,20,180,3703.1,122.2,180
693,20,180,3697.1,122.0,180
694,20,180,3691.1,121.8,180
695,20,180,3685.2,121.6,180
696,20,180,3679.2,121.4,180
697,20,180,3673.3,121.2,180
698,20,180,3667.4,121.0,180
699,20,180,3661.5,120.8,180
700,20,180,3655.7,120.6,180
701,20,180,3649.8,120.4,180
702,20,180,3644.0,120.2,180
703,20,180,3638.2,120.0,180
704,20,180,3632.4,119.9,180
705,20,180,3626.6,119.7,180
706,20,180,3620.9,119.5,180
707,20,180,3615.1,119.3,180
708,20,180,3609.4,119.1,180
709,20,180,3603.7,118.9,180
710,20,180,3598.0,118.7,180
711,20,180,3592.3,118.5,180
712,20,180,3586.7,118.3,180
713,20,180,3581.0,118.1,180
714,20,180,3575.4,118.0,180
715,20,180,3569.8,117.8,180
716,20,180,3564.2,117.6,180
717,20,180,3558.7,117.4,180
718,20,180,3553.1,117.2,180
719,20,180,3547.6,117.0,180
720,20,180,3542.0,116.8,180
721,20,180,3536.5,116.7,180
722,20,180,3531.1,116.5,180
723,20,180,3525.6,116.3,180
724,20,180,3520.1,116.1,180
725,20,180,3514.7,115.9,180
726,20,180,3509.3,115.8,180
727,20,180,3503.9,115.6,180
728,20,180,3498.5,115.4,180
729,20,180,3493.1,115.2,180
730,20,180,3487.7,115.0,180
731,20,180,3482.4,114.9,180
732,20,180,3477.0,114.7,180
733,20,180,3471.7,114.5,180
734,20,180,3466.4,114.3,180
735,20,180,3461.1,114.2,180
736,20,180,3455.9,114.0,180
737,20,180,3450.6,113.8,180
738,20,180,3445.4,113.6,180
739,20,180,3440.2,113.5,180
