tick,pop_ancient,pop_primitive,avg_nrg_ancient,avg_nrg_prim
778,189,11,580.4,525.5
779,189,11,584.0,593.6
780,189,11,580.9,659.7
781,189,11,572.0,546.7
782,189,11,576.1,538.4
783,189,11,601.0,572.2
784,189,11,580.2,554.9
785,189,11,568.1,667.7
786,189,11,553.0,557.2
787,189,11,570.9,546.6
788,189,11,583.2,619.5
789,189,11,576.9,634.8
790,189,11,561.5,565.6
791,189,11,566.1,466.8
792,189,11,584.1,416.1
793,189,11,579.1,500.9
794,189,11,568.4,535.2
795,188,11,557.9,522.9
796,188,12,591.4,469.5
797,188,12,578.8,392.4
798,188,12,594.8,457.2
799,188,12,585.2,494.3
800,188,12,590.7,450.0
801,188,12,595.6,492.1
802,188,12,596.7,476.9
803,188,12,587.3,434.9
804,188,12,572.3,624.7
805,188,12,581.6,561.6
806,188,12,593.1,508.9
807,188,12,593.5,610.7
808,188,12,570.9,667.4
809,188,12,591.9,639.2
810,188,12,599.5,577.9
811,188,12,592.8,489.1
812,188,12,581.1,677.6
813,188,12,582.8,642.2
814,188,12,594.4,537.5
815,188,12,596.7,491.9
816,188,12,569.6,603.7
817,188,12,584.4,621.3
818,188,12,592.1,635.5
819,188,12,588.8,534.6
820,188,12,596.2,479.7
821,188,12,599.6,546.5
822,188,12,604.3,564.1
823,188,12,610.5,586.7
824,187,12,589.4,492.7
825,188,12,579.4,522.9
826,188,12,593.8,618.5
827,188,12,605.9,589.1
828,188,12,589.8,531.1
829,188,12,578.5,520.4
830,188,12,596.2,511.2
831,188,12,615.7,574.3
832,188,12,586.0,555.4
833,188,12,584.5,535.3
834,188,12,593.8,518.5
835,188,12,620.5,541.8
836,188,12,592.2,527.6
837,188,12,589.9,553.1
838,188,12,587.9,536.4
839,188,12,612.8,518.2
840,188,12,582.6,503.0
841,188,12,588.6,531.9
842,188,12,588.2,551.4
843,188,12,589.7,539.7
844,188,12,567.6,529.8
845,187,12,585.6,517.1
846,188,12,599.6,585.5
847,188,11,609.2,577.2
848,189,11,583.3,608.0
849,189,11,577.1,546.7
850,189,11,569.2,623.1
851,189,11,612.7,603.8
852,189,11,590.8,587.6
853,189,11,572.3,614.9
854,189,11,569.3,637.0
855,189,11,599.2,573.0
856,189,11,582.1,556.4
857,189,11,584.7,587.9
858,189,11,571.8,613.5
859,189,11,594.7,593.2
860,189,11,582.4,576.3
861,189,11,584.8,603.0
862,189,11,581.8,583.7
863,189,11,600.3,608.4
864,189,11,577.0,587.5
865,189,11,591.5,611.0
866,189,11,589.3,548.1
867,189,11,589.6,537.1
868,189,11,565.2,564.2
869,189,11,567.0,586.1
870,189,11,584.9,485.6
871,189,11,589.6,607.6
872,189,11,567.3,579.9
873,189,11,584.4,643.3
874,189,11,572.7,578.6
875,189,11,593.5,607.0
876,189,11,572.0,539.0
877,189,11,566.8,569.2
878,189,11,581.4,511.7
879,189,11,588.6,459.8
880,189,11,582.6,416.9
881,189,11,565.0,554.2
882,189,11,582.4,584.3
883,189,11,574.7,485.7
884,189,11,562.8,486.6
885,188,11,558.6,568.8
886,189,11,571.3,553.8
887,189,11,575.0,459.3
888,189,11,563.0,504.6
889,189,11,555.4,536.7
890,189,11,560.9,485.2
891,189,11,587.0,524.8
892,189,10,574.3,567.4
893,189,10,554.9,509.0
894,190,10,577.8,596.1
895,190,10,602.0,581.8
896,190,10,592.9,519.7
897,190,10,592.1,563.8
898,190,10,551.4,554.4
899,190,10,598.9,546.5
900,190,10,586.6,541.7
901,190,10,564.6,492.3
902,190,10,573.2,586.7
903,190,10,598.1,622.8
904,190,10,591.3,606.7
905,190,10,565.8,503.1
906,190,10,559.4,548.5
907,190,10,587.9,544.9
908,190,10,596.8,586.6
909,190,10,565.7,529.9
910,190,10,569.3,618.5
911,190,10,587.6,599.9
912,190,10,583.6,579.4
913,190,10,575.8,522.3
914,190,10,569.2,510.7
915,190,10,579.1,645.8
916,190,10,578.1,575.0
917,190,10,563.6,472.2
918,190,10,537.2,468.6
919,190,10,572.7,515.3
920,190,10,573.0,507.7
921,190,10,556.0,501.3
922,190,10,561.0,540.0
923,190,10,576.0,583.0
924,189,10,571.3,572.2
925,190,10,548.7,468.0
926,190,10,548.3,563.2
927,190,10,549.8,599.7
928,190,10,570.4,583.6
929,190,10,558.8,520.1
930,190,10,561.4,563.4
931,190,10,584.4,552.9
932,190,10,562.6,543.9
933,190,10,559.3,581.2
934,190,10,556.6,520.9
935,190,10,563.3,556.9
936,190,10,566.1,495.4
937,190,10,563.7,440.5
938,189,10,550.1,445.9
939,189,11,565.1,494.5
940,188,11,557.2,535.6
941,189,11,555.1,531.5
942,189,11,538.8,527.6
943,188,11,583.7,523.7
944,188,12,569.4,476.6
945,188,12,575.0,517.9
946,188,12,557.0,512.8
947,188,12,561.6,470.5
948,188,12,570.6,548.3
949,188,12,570.3,497.6
950,188,12,574.3,452.1
951,188,12,577.5,463.1
952,188,12,588.6,433.6
953,188,12,579.0,521.7
