tick,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
222,19,22,364.2970722991217,383.1546983583517
223,19,22,364.5031735451805,384.58762818623603
224,19,22,363.5251196979457,384.8185387568657
225,19,22,365.0837267436341,385.04292869591865
226,19,22,366.0813331526667,384.2112980694591
227,19,22,365.18026744363374,383.09899838728046
228,19,22,363.76176901650695,382.4030769813537
229,19,22,362.78297578701273,383.2907640672923
230,19,22,362.82156155593736,383.73622080091593
231,19,22,364.33246521435825,384.58995717460687
232,19,22,363.17450512341946,383.27798449676897
233,19,22,362.2083527884033,383.7450442691743
234,19,22,362.5764818051982,383.4075332929175
235,19,22,363.65179497271873,382.90656393702096
236,19,22,363.6490447945599,385.28018263875975
237,19,22,363.7318796922671,384.23240347134305
238,19,22,363.71860668805687,382.9553650663617
239,19,22,362.64806645440257,385.0293445368207
240,19,22,364.08443207483197,384.4240998840177
241,19,22,364.734939703793,384.26918116184413
242,19,22,366.17871449746065,384.75946643816553
243,19,22,364.4400056924938,383.42668429479465
244,19,22,366.28611051522876,383.309940785219
245,19,22,365.20798717913596,383.70547324263924
246,19,22,364.99884332128664,384.09913625989947
247,19,22,363.8938655330707,384.31544263976485
248,19,22,363.9905917072098,382.5191787358518
249,19,22,363.25973029107774,382.21622953910816
250,19,22,363.36190543792173,384.01610519161414
251,19,22,363.4974495390113,383.0705355955854
252,19,22,362.45375419520946,384.611868974551
253,19,22,362.4181827845161,384.5972397940624
254,19,22,361.58881587913385,382.8436005552135
255,19,22,360.5411171404025,384.8075661958404
256,19,22,362.63435254417726,383.60374719492467
257,19,22,363.53027438346965,381.37422577321
258,19,22,365.27779587933446,383.0856367342928
259,19,22,364.870890035933,384.9828121427464
260,19,22,363.33260832819934,383.9516056123015
261,19,22,365.503015507397,384.0571797404311
262,19,22,365.3861316959158,383.9312671381946
263,19,22,366.0847988783493,383.1098860980613
264,19,22,364.39013218418506,383.0644795411997
265,19,22,364.0486653226688,383.4717002944469
266,19,22,363.1409606355519,383.3166773938472
267,19,22,364.80406606386214,384.70744539713456
268,19,22,363.8724791563304,383.14135549488225
269,19,22,363.0710662609786,383.71173740145036
270,19,22,363.1315127136972,383.2092646998248
271,19,22,361.488431816623,383.6320369366043
272,19,22,360.33656400869114,384.13526429140876
273,19,22,362.196822189745,383.7505580515061
274,19,22,364.282143193121,383.2040760152045
275,19,22,364.62629344844805,383.45289681820935
276,19,22,364.6161773182131,383.1308491877265
277,19,22,363.4122645602819,382.6193845120978
278,19,22,362.9111384716142,381.45153297009506
279,19,22,364.17305364172876,384.34206305195613
280,19,22,363.1703290059089,384.6780362073328
281,19,22,362.23297189383663,383.52580434989153
282,19,22,361.49903598185733,382.0400622630419
283,19,22,363.2275775949727,381.3716954010145
284,19,22,361.3431457838721,383.751783304948
