tick,old_money,smart_bosses,dumb_bosses,avg_smart_energy,avg_dumb_energy
268,10,25,18,485.70742116563275,335.15911162286477
269,10,25,20,481.98351662457446,337.24119327520503
270,10,25,19,496.2700070196145,336.0423143578824
271,10,24,19,490.469424966381,337.3995357416254
272,10,25,19,504.6904726793767,336.77022141296135
273,10,25,17,500.8240640833601,335.0374588319778
274,10,24,18,494.968749596996,336.09873971739046
275,10,25,18,509.1356228590254,334.58411349163424
276,10,25,18,505.2143956056563,336.6952361766006
277,10,25,20,501.30470923881376,336.6363101601693
278,10,25,20,515.9066564402588,335.65458222924457
279,10,25,20,529.9170986821349,335.1540191420532
280,10,25,21,561.8387643143277,337.490702508636
281,10,25,18,557.570431843694,335.69407909289254
282,10,25,19,553.3149359929083,334.9106764417838
283,10,25,20,549.0723748400012,335.8583480905358
284,10,25,21,545.3428451357229,335.71813586244696
285,10,25,20,559.123592303262,337.6628881696769
286,10,25,19,572.8146067401001,336.8403729302652
287,10,25,19,568.4158522822247,335.7290015865949
288,10,25,20,564.0309783578919,336.6797223925691
289,10,25,19,559.660080687796,334.8073959705113
290,10,25,18,555.8032536046196,335.30407544515487
291,10,25,19,551.4576800534536,336.36671885629795
292,10,25,19,547.6263685867542,335.5564581730382
293,10,25,21,543.3064794516486,336.1837722895375
294,10,24,20,537.0010387372856,335.4723669270497
295,10,25,19,568.7219339935484,335.429007629243
296,10,25,19,582.2443015291194,335.1972579107148
297,10,25,19,577.6749717628493,335.63712005434274
298,10,25,18,591.1212303159555,335.1800147743496
299,10,25,16,586.4755267434788,335.1992929547054
300,10,24,18,598.3458749678307,336.489026906013
301,10,25,18,611.6330341853371,335.4127554951066
302,10,25,18,606.8279720436705,335.441084707827
303,10,24,18,620.0397959178987,334.5336658484002
304,10,24,20,615.1591553435306,335.4780204370775
305,10,25,20,628.2958858807478,336.4919102213344
306,10,25,20,623.3399164439704,335.1971273333632
307,10,25,21,618.4018107418173,335.71901802494995
308,10,25,19,613.4816569724604,335.27742259754916
309,10,25,19,608.5795417171835,334.0049811687561
