tick,pop_republic,pop_empire,nukes_built,battles
646,50,150,0,7
647,50,150,0,52
648,50,150,0,6
649,50,150,0,13
650,50,150,0,19
651,50,150,0,0
652,50,150,0,0
653,50,150,0,8
654,50,150,0,26
655,50,150,0,17
656,50,150,0,5
657,50,150,0,60
658,50,150,0,0
659,50,150,0,0
660,50,150,0,4
661,50,150,0,22
662,50,150,0,2
663,50,150,0,0
664,50,150,0,3
665,50,150,0,4
666,50,150,0,22
667,50,150,0,17
668,50,150,0,2
669,50,150,0,19
670,50,150,0,52
671,50,150,0,0
672,50,150,0,0
673,50,150,0,0
674,50,150,0,0
675,50,150,0,0
676,50,150,0,8
677,50,150,0,22
678,50,150,0,0
679,50,150,0,0
680,50,150,0,0
681,50,150,0,10
682,50,150,0,7
683,50,150,0,0
684,50,150,0,0
685,50,150,0,0
686,50,150,0,7
687,50,150,0,0
688,50,150,0,0
689,50,150,0,0
690,50,150,0,0
691,50,150,0,0
692,50,150,0,0
693,50,150,0,3
