tick,prey_pop,pred_pop,avg_prey_evade,avg_pred_hunt,avg_pred_mut
374,198,50,0.5527,0.5070,0.8314
375,188,50,0.5542,0.5070,0.8314
376,193,50,0.5549,0.5070,0.8314
377,197,50,0.5584,0.5070,0.8314
378,193,50,0.5610,0.5070,0.8314
379,197,50,0.5579,0.5070,0.8314
380,196,50,0.5597,0.5070,0.8314
381,195,50,0.5628,0.5070,0.8314
382,194,50,0.5634,0.5070,0.8314
383,194,50,0.5613,0.5070,0.8314
384,195,50,0.5634,0.5070,0.8314
385,192,50,0.5701,0.5070,0.8314
386,194,50,0.5735,0.5070,0.8314
387,199,50,0.5759,0.5070,0.8314
388,197,50,0.5776,0.5070,0.8314
389,196,50,0.5813,0.5070,0.8314
390,192,50,0.5860,0.5070,0.8314
391,197,50,0.5852,0.5070,0.8314
392,195,50,0.5887,0.5070,0.8314
393,194,50,0.5847,0.5070,0.8314
394,194,50,0.5797,0.5070,0.8314
395,191,50,0.5871,0.5070,0.8314
396,193,50,0.5808,0.5070,0.8314
397,196,50,0.5818,0.5070,0.8314
398,196,50,0.5850,0.5070,0.8314
399,192,50,0.5894,0.5070,0.8314
400,197,50,0.5896,0.5070,0.8314
401,195,50,0.5953,0.5070,0.8314
402,192,50,0.6004,0.5070,0.8314
403,195,50,0.5943,0.5070,0.8314
404,197,50,0.5941,0.5070,0.8314
405,196,50,0.5981,0.5070,0.8314
406,198,50,0.5948,0.5070,0.8314
407,193,50,0.6002,0.5070,0.8314
408,193,50,0.5979,0.5070,0.8314
409,196,50,0.6029,0.5070,0.8314
410,193,50,0.6045,0.5070,0.8314
411,193,50,0.5997,0.5070,0.8314
412,197,50,0.6040,0.5070,0.8314
413,197,50,0.6019,0.5070,0.8314
414,197,50,0.5963,0.5070,0.8314
415,198,50,0.5972,0.5070,0.8314
416,198,50,0.6000,0.5070,0.8314
417,197,50,0.6003,0.5070,0.8314
418,195,50,0.6009,0.5070,0.8314
419,190,50,0.6061,0.5070,0.8314
420,195,50,0.6101,0.5070,0.8314
421,192,50,0.6086,0.5070,0.8314
422,192,50,0.6047,0.5070,0.8314
