Experimental_Cycle,Composition_Frequency_Pct,Random_Seed,Composition_Threshold,Maximum_Agent_Count,Initial_Agent_Count,Mean_Composition_Events,Bistable_Basin_Classification,Spawn_Accuracy_Percent,actual_freq_pct,actual_spawns,agent_count_mean,agent_count_std,avg_agent_count,avg_cycle_time_ms,avg_cycles_per_sec,basin_classifications,basin_threshold,composition_mean,cycles,cycles_completed,cycles_per_sec,cycles_per_second,database_condition,decomposition_mean,dist_A,dist_B,diversity,dominant,dominant_fraction,duration,elapsed_seconds,expected_spawns,fft_analysis,fft_peak_count_agents,fft_peak_count_composition,fft_peak_count_decomposition,fft_top_freqs_agents,fft_top_freqs_composition,fft_top_freqs_decomposition,fft_top_powers_agents,fft_top_powers_composition,fft_top_powers_decomposition,final_agent_count,final_agents,final_db_size_mb,final_memory_mb,fraction,initial_db_size_mb,initial_memory_mb,max_composition_events,memory_increase_mb,mult,peak_agents,protocol,runtime,spawn_count,spawn_freq_pct,spawn_interval_cycles,spawning_freq,spread
135,,,700,,,,B,,,,,,,,,,,,,,1707.3878045821762,,,,7.778811694226182,7.5837392773514445,0.12,"[1.734159, 2.044148, 1.540368]",,1.7570700645446777,,,,,,,,,,,,,,,,,0.2,,,,,1.2,,,,,,,,0.1
135,,,700,,,,B,,,,,,,,,,,,,,1728.7427927902554,,,,7.8130310394071145,7.617819330139697,0.14,"[1.709026, 2.022402, 1.527424]",,1.7353651523590088,,,,,,,,,,,,,,,,,0.2,,,,,1.4000000000000001,,,,,,,,0.1
135,,,725,,,,B,,,,,,,,,,,,,,1722.878474534684,,,,7.710411744265607,7.515622718025034,0.08,"[1.784425, 2.08764, 1.566257]",,1.74127197265625,,,,,,,,,,,,,,,,,0.2,,,,,0.7999999999999999,,,,,,,,0.1
135,,,725,,,,B,,,,,,,,,,,,,,1733.1956464156979,,,,7.744604797881297,7.549673259171485,0.1,"[1.759292, 2.065894, 1.553313]",,1.7309067249298096,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
135,,,725,,,,B,,,,,,,,,,,,,,1721.2424111186772,,,,7.778811694226182,7.5837392773514445,0.12,"[1.734159, 2.044148, 1.540368]",,1.742927074432373,,,,,,,,,,,,,,,,,0.2,,,,,1.2,,,,,,,,0.1
135,,,725,,,,B,,,,,,,,,,,,,,1733.755419315325,,,,7.8130310394071145,7.617819330139697,0.14,"[1.709026, 2.022402, 1.527424]",,1.7303478717803955,,,,,,,,,,,,,,,,,0.2,,,,,1.4000000000000001,,,,,,,,0.1
136,,42,700,,,,B,,,,,,,,,,,,,,1719.1611779185093,,,,7.624868571766073,7.43044361415905,0.03,"[1.847344, 2.142082, 1.598663]",,1.7450370788574219,,,,,,,,,,,,,,,,,0.2,,,,,0.3,,,,,,,,0.1
136,,123,700,,,,B,,,,,,,,,,,,,,1712.34522035559,,,,7.625369819061106,7.430942698076536,0.03,"[1.846975, 2.141763, 1.598473]",,1.7519831657409668,,,,,,,,,,,,,,,,,0.2,,,,,0.3,,,,,,,,0.1
136,,456,700,,,,B,,,,,,,,,,,,,,1719.8068794943133,,,,7.624776093586879,7.430351537335296,0.03,"[1.847412, 2.142141, 1.598698]",,1.7443819046020508,,,,,,,,,,,,,,,,,0.2,,,,,0.3,,,,,,,,0.1
136,,789,700,,,,B,,,,,,,,,,,,,,1748.1865719770803,,,,7.625006137572678,7.43058057976589,0.03,"[1.847243, 2.141994, 1.598611]",,1.7160639762878418,,,,,,,,,,,,,,,,,0.2,,,,,0.3,,,,,,,,0.1
136,,1024,700,,,,B,,,,,,,,,,,,,,1719.928884140663,,,,7.624733851552722,7.4303094789503215,0.03,"[1.847443, 2.142168, 1.598714]",,1.744258165359497,,,,,,,,,,,,,,,,,0.2,,,,,0.3,,,,,,,,0.1
136,,42,700,,,,B,,,,,,,,,,,,,,1722.0270602234696,,,,7.67611329694462,7.481468939977697,0.06,"[1.809645, 2.109462, 1.579246]",,1.7421329021453857,,,,,,,,,,,,,,,,,0.2,,,,,0.6,,,,,,,,0.1
136,,123,700,,,,B,,,,,,,,,,,,,,1724.6653820106396,,,,7.676614846412058,7.481968363380923,0.06,"[1.809276, 2.109143, 1.579056]",,1.7394678592681885,,,,,,,,,,,,,,,,,0.2,,,,,0.6,,,,,,,,0.1
136,,456,700,,,,B,,,,,,,,,,,,,,1717.71832771723,,,,7.676020220219656,7.4813762691973995,0.06,"[1.809713, 2.109522, 1.579281]",,1.7465028762817383,,,,,,,,,,,,,,,,,0.2,,,,,0.6,,,,,,,,0.1
136,,789,700,,,,B,,,,,,,,,,,,,,1701.6508955536335,,,,7.676250403205591,7.4816054678209944,0.06,"[1.809544, 2.109375, 1.579194]",,1.7629938125610352,,,,,,,,,,,,,,,,,0.2,,,,,0.6,,,,,,,,0.1
136,,1024,700,,,,B,,,,,,,,,,,,,,1708.7407118911015,,,,7.675978495427277,7.481334713408898,0.06,"[1.809744, 2.109548, 1.579297]",,1.7556788921356201,,,,,,,,,,,,,,,,,0.2,,,,,0.6,,,,,,,,0.1
136,,42,700,,,,B,,,,,,,,,,,,,,1711.8550772510107,,,,7.74448590110241,7.549554858883469,0.1,"[1.759379, 2.06597, 1.553358]",,1.7524847984313965,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
136,,123,700,,,,B,,,,,,,,,,,,,,1729.4646456496919,,,,7.7449872681597745,7.550054150028197,0.1,"[1.759011, 2.065651, 1.553168]",,1.7346408367156982,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
136,,456,700,,,,B,,,,,,,,,,,,,,1691.7125136108991,,,,7.7443927183081955,7.54946206336478,0.1,"[1.759448, 2.066029, 1.553393]",,1.7733509540557861,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
136,,789,700,,,,B,,,,,,,,,,,,,,1707.491833957844,,,,7.7446231148616915,7.5496915074233995,0.1,"[1.759278, 2.065883, 1.553306]",,1.7569630146026611,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
136,,1024,700,,,,B,,,,,,,,,,,,,,1719.630132755336,,,,7.744350417658604,7.549419939121548,0.1,"[1.759479, 2.066056, 1.553409]",,1.7445611953735352,,,,,,,,,,,,,,,,,0.2,,,,,1.0,,,,,,,,0.1
137,,42,700,,,,B,,,,,,,,,,,,,,1722.2660597334718,,clean,,7.624868571766073,7.43044361415905,0.03,"[1.847344, 2.142082, 1.598663]",,1.7418911457061768,,,,,,,,,,,,,,,0.16015625,,0.2,0.0,,,,0.3,,,,,,,,0.1
137,,123,700,,,,B,,,,,,,,,,,,,,1654.9743091160615,,clean,,7.625369819061106,7.430942698076536,0.03,"[1.846975, 2.141763, 1.598473]",,1.8127169609069824,,,,,,,,,,,,,,,0.16015625,,0.2,0.0,,,,0.3,,,,,,,,0.1
137,,456,700,,,,B,,,,,,,,,,,,,,1718.5852023630132,,clean,,7.624776093586879,7.430351537335296,0.03,"[1.847412, 2.142141, 1.598698]",,1.745621919631958,,,,,,,,,,,,,,,0.16015625,,0.2,0.0,,,,0.3,,,,,,,,0.1
137,,42,700,,,,B,,,,,,,,,,,,,,1696.4737421562988,,loaded,,7.624868571766073,7.43044361415905,0.03,"[1.847344, 2.142082, 1.598663]",,1.768373966217041,,,,,,,,,,,,,,,101.0,,0.2,100.84375,,,,0.3,,,,,,,,0.1
137,,123,700,,,,B,,,,,,,,,,,,,,1692.925652422698,,loaded,,7.625369819061106,7.430942698076536,0.03,"[1.846975, 2.141763, 1.598473]",,1.7720801830291748,,,,,,,,,,,,,,,101.0,,0.2,100.84375,,,,0.3,,,,,,,,0.1
